phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.417	0.995	0.931	0.349	-0.024	0.784	0.784	0.019	0.024	0.874	0.874	0.021
0.415	1.003	0.919	0.401	-0.024	0.784	0.784	0.019	0.025	0.881	0.881	0.022
0.414	0.994	0.885	0.454	-0.024	0.784	0.784	0.019	0.026	0.878	0.878	0.023
0.417	1.000	0.873	0.488	-0.024	0.784	0.784	0.019	0.026	0.883	0.883	0.023
0.416	0.993	0.904	0.411	-0.024	0.784	0.784	0.019	0.025	0.875	0.875	0.022
0.414	0.984	0.902	0.394	-0.024	0.784	0.784	0.019	0.025	0.869	0.869	0.022
0.413	0.992	0.924	0.363	-0.024	0.784	0.784	0.019	0.025	0.874	0.874	0.022
0.415	0.987	0.924	0.348	-0.024	0.784	0.784	0.019	0.024	0.870	0.870	0.021
0.416	1.001	0.927	0.379	-0.024	0.784	0.784	0.019	0.025	0.880	0.880	0.022
0.416	1.010	0.952	0.338	-0.024	0.784	0.784	0.019	0.024	0.885	0.885	0.021
0.410	1.012	0.963	0.310	-0.024	0.784	0.784	0.019	0.024	0.885	0.885	0.021
0.402	1.023	0.959	0.357	-0.024	0.784	0.784	0.019	0.025	0.894	0.894	0.022
0.368	1.017	0.969	0.308	-0.024	0.784	0.784	0.019	0.023	0.894	0.894	0.021
0.353	1.010	0.965	0.298	-0.024	0.784	0.784	0.019	0.024	0.888	0.888	0.021
0.345	1.007	0.944	0.349	-0.024	0.784	0.784	0.019	0.024	0.884	0.884	0.021
0.341	0.995	0.938	0.332	-0.024	0.784	0.784	0.019	0.024	0.874	0.874	0.021
0.341	0.999	0.922	0.386	-0.024	0.784	0.784	0.019	0.025	0.879	0.879	0.022
0.347	0.993	0.892	0.435	-0.024	0.784	0.784	0.019	0.025	0.876	0.876	0.022
0.355	0.988	0.885	0.440	-0.024	0.784	0.784	0.019	0.025	0.873	0.873	0.022
0.364	0.988	0.918	0.365	-0.024	0.784	0.784	0.019	0.025	0.870	0.870	0.022
0.363	1.005	0.960	0.294	-0.024	0.784	0.784	0.019	0.024	0.879	0.879	0.021
0.364	1.010	0.955	0.329	-0.024	0.784	0.784	0.019	0.024	0.884	0.884	0.021
0.364	1.005	0.953	0.318	-0.024	0.784	0.784	0.019	0.024	0.880	0.880	0.021
0.362	0.986	0.942	0.294	-0.024	0.784	0.784	0.019	0.024	0.868	0.868	0.021
0.360	0.975	0.924	0.312	-0.024	0.784	0.784	0.019	0.024	0.861	0.861	0.021
0.358	0.984	0.922	0.343	-0.024	0.784	0.784	0.019	0.024	0.867	0.867	0.021
0.354	1.018	0.928	0.419	-0.024	0.784	0.784	0.019	0.026	0.892	0.892	0.023
0.347	1.015	0.952	0.353	-0.024	0.784	0.784	0.019	0.025	0.888	0.888	0.022
0.338	1.008	0.953	0.326	-0.024	0.784	0.784	0.019	0.024	0.882	0.882	0.021
0.339	0.994	0.925	0.362	-0.024	0.784	0.784	0.019	0.025	0.874	0.874	0.022
0.346	0.985	0.918	0.357	-0.024	0.784	0.784	0.019	0.024	0.868	0.868	0.021
