phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.272	1.078	1.021	-0.345	-0.534	0.878	0.756	-0.447	-0.458	0.955	0.857	-0.422
-0.284	1.090	1.038	-0.334	-0.534	0.878	0.756	-0.447	-0.457	0.963	0.864	-0.425
-0.291	1.087	1.043	-0.305	-0.534	0.878	0.756	-0.447	-0.458	0.960	0.861	-0.424
-0.292	1.094	1.064	-0.250	-0.534	0.878	0.756	-0.447	-0.457	0.964	0.865	-0.425
-0.291	1.096	1.062	-0.271	-0.534	0.878	0.756	-0.447	-0.457	0.966	0.867	-0.426
-0.289	1.093	1.051	-0.299	-0.534	0.878	0.756	-0.447	-0.457	0.964	0.865	-0.425
-0.290	1.091	1.055	-0.278	-0.534	0.878	0.756	-0.447	-0.456	0.962	0.864	-0.424
-0.283	1.086	1.044	-0.298	-0.534	0.878	0.756	-0.447	-0.457	0.959	0.861	-0.423
-0.282	1.089	1.034	-0.342	-0.534	0.878	0.756	-0.447	-0.458	0.962	0.863	-0.425
-0.286	1.097	1.016	-0.414	-0.541	0.882	0.756	-0.454	-0.465	0.971	0.868	-0.435
-0.293	1.097	1.007	-0.433	-0.541	0.882	0.756	-0.454	-0.465	0.970	0.867	-0.435
-0.303	1.092	1.005	-0.426	-0.541	0.882	0.756	-0.454	-0.464	0.967	0.865	-0.433
-0.317	1.093	1.017	-0.401	-0.542	0.887	0.760	-0.458	-0.465	0.969	0.866	-0.435
-0.325	1.083	1.023	-0.357	-0.542	0.887	0.760	-0.458	-0.465	0.962	0.860	-0.431
-0.328	1.088	1.047	-0.297	-0.542	0.887	0.760	-0.458	-0.464	0.964	0.862	-0.431
-0.324	1.082	1.057	-0.229	-0.542	0.887	0.760	-0.458	-0.463	0.958	0.857	-0.428
-0.321	1.066	1.032	-0.269	-0.542	0.887	0.760	-0.458	-0.464	0.948	0.848	-0.424
-0.319	1.067	1.010	-0.342	-0.542	0.887	0.760	-0.458	-0.465	0.950	0.849	-0.426
-0.319	1.067	1.002	-0.368	-0.542	0.887	0.760	-0.458	-0.466	0.951	0.850	-0.427
-0.312	1.067	1.014	-0.333	-0.542	0.887	0.760	-0.458	-0.465	0.950	0.849	-0.426
-0.303	1.075	1.032	-0.300	-0.542	0.887	0.760	-0.458	-0.464	0.954	0.853	-0.427
-0.282	1.068	1.042	-0.234	-0.542	0.887	0.760	-0.458	-0.464	0.952	0.851	-0.426
-0.282	1.068	1.042	-0.234	-0.542	0.887	0.760	-0.458	-0.463	0.949	0.849	-0.424
-0.276	1.062	1.036	-0.233	-0.542	0.887	0.760	-0.458	-0.463	0.945	0.845	-0.422
-0.274	1.063	1.041	-0.215	-0.542	0.887	0.760	-0.458	-0.463	0.945	0.845	-0.422
-0.271	1.068	1.045	-0.217	-0.542	0.887	0.760	-0.458	-0.464	0.948	0.848	-0.424
-0.266	1.079	1.056	-0.225	-0.542	0.887	0.760	-0.458	-0.464	0.957	0.856	-0.428
-0.259	1.080	1.053	-0.238	-0.542	0.887	0.760	-0.458	-0.464	0.957	0.856	-0.428
-0.247	1.083	1.055	-0.245	-0.542	0.887	0.760	-0.458	-0.464	0.959	0.858	-0.429
-0.225	1.078	1.059	-0.200	-0.542	0.887	0.760	-0.458	-0.464	0.955	0.854	-0.427
-0.219	1.079	1.056	-0.222	-0.542	0.887	0.760	-0.458	-0.463	0.956	0.855	-0.427
-0.218	1.088	1.053	-0.272	-0.542	0.887	0.760	-0.458	-0.464	0.963	0.861	-0.431
-0.219	1.085	1.048	-0.280	-0.542	0.887	0.760	-0.458	-0.464	0.961	0.859	-0.430
-0.224	1.088	1.054	-0.271	-0.542	0.887	0.759	-0.458	-0.464	0.963	0.861	-0.431
-0.232	1.095	1.050	-0.311	-0.542	0.887	0.759	-0.458	-0.465	0.968	0.865	-0.434
-0.240	1.090	1.045	-0.311	-0.542	0.887	0.759	-0.458	-0.464	0.965	0.863	-0.432
-0.248	1.082	1.039	-0.300	-0.542	0.887	0.759	-0.458	-0.465	0.959	0.857	-0.430
-0.253	1.075	1.030	-0.307	-0.542	0.887	0.759	-0.458	-0.465	0.954	0.853	-0.428
