phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.376	2.576	2.439	-0.826	-0.355	2.486	2.331	-0.864	-0.335	2.491	2.352	-0.819
-0.371	2.583	2.434	-0.865	-0.355	2.486	2.331	-0.864	-0.335	2.496	2.357	-0.821
-0.366	2.581	2.450	-0.814	-0.355	2.486	2.331	-0.864	-0.335	2.495	2.356	-0.820
-0.359	2.585	2.453	-0.814	-0.355	2.486	2.331	-0.864	-0.335	2.497	2.358	-0.821
-0.354	2.591	2.435	-0.885	-0.355	2.486	2.331	-0.864	-0.335	2.501	2.362	-0.823
-0.350	2.590	2.433	-0.888	-0.355	2.486	2.331	-0.864	-0.335	2.501	2.362	-0.823
-0.349	2.587	2.379	-1.015	-0.355	2.486	2.331	-0.864	-0.336	2.504	2.364	-0.825
-0.352	2.587	2.404	-0.955	-0.355	2.486	2.331	-0.864	-0.336	2.500	2.360	-0.824
-0.354	2.584	2.415	-0.918	-0.348	2.480	2.331	-0.845	-0.329	2.495	2.361	-0.806
-0.356	2.587	2.431	-0.884	-0.343	2.475	2.331	-0.832	-0.324	2.495	2.365	-0.794
-0.356	2.591	2.440	-0.870	-0.343	2.475	2.331	-0.832	-0.324	2.498	2.368	-0.795
-0.358	2.598	2.416	-0.956	-0.343	2.474	2.330	-0.832	-0.324	2.504	2.373	-0.798
-0.364	2.598	2.408	-0.975	-0.343	2.474	2.330	-0.832	-0.324	2.504	2.373	-0.798
-0.373	2.597	2.354	-1.098	-0.343	2.474	2.330	-0.832	-0.325	2.505	2.374	-0.800
-0.381	2.591	2.348	-1.094	-0.343	2.474	2.330	-0.832	-0.325	2.500	2.369	-0.798
-0.386	2.588	2.348	-1.087	-0.343	2.474	2.330	-0.832	-0.325	2.498	2.367	-0.797
-0.386	2.572	2.348	-1.049	-0.343	2.474	2.330	-0.832	-0.325	2.487	2.357	-0.794
-0.393	2.574	2.370	-1.003	-0.343	2.474	2.330	-0.832	-0.324	2.488	2.358	-0.793
-0.395	2.584	2.436	-0.862	-0.343	2.474	2.330	-0.832	-0.324	2.493	2.363	-0.793
-0.397	2.583	2.430	-0.875	-0.343	2.474	2.330	-0.832	-0.324	2.493	2.363	-0.793
-0.395	2.581	2.421	-0.894	-0.343	2.474	2.330	-0.832	-0.324	2.492	2.362	-0.793
-0.394	2.572	2.415	-0.885	-0.343	2.474	2.330	-0.832	-0.324	2.485	2.356	-0.791
-0.389	2.573	2.383	-0.968	-0.343	2.474	2.330	-0.832	-0.324	2.486	2.356	-0.792
-0.384	2.568	2.396	-0.924	-0.343	2.474	2.330	-0.832	-0.324	2.483	2.354	-0.791
-0.379	2.571	2.410	-0.894	-0.343	2.474	2.330	-0.832	-0.324	2.484	2.355	-0.791
-0.376	2.575	2.383	-0.976	-0.343	2.474	2.330	-0.832	-0.324	2.488	2.358	-0.793
-0.372	2.569	2.377	-0.975	-0.343	2.474	2.330	-0.832	-0.324	2.485	2.355	-0.792
-0.370	2.563	2.385	-0.938	-0.343	2.474	2.330	-0.832	-0.324	2.479	2.350	-0.790
-0.369	2.561	2.422	-0.833	-0.343	2.474	2.330	-0.832	-0.324	2.478	2.349	-0.788
-0.369	2.570	2.389	-0.945	-0.343	2.474	2.330	-0.832	-0.324	2.483	2.354	-0.791
-0.373	2.566	2.360	-1.008	-0.343	2.474	2.330	-0.832	-0.325	2.483	2.353	-0.792
-0.382	2.580	2.365	-1.032	-0.343	2.474	2.330	-0.832	-0.325	2.484	2.354	-0.793
-0.383	2.572	2.406	-0.907	-0.343	2.472	2.328	-0.832	-0.325	2.484	2.354	-0.792
-0.381	2.568	2.394	-0.928	-0.343	2.472	2.328	-0.832	-0.324	2.481	2.352	-0.791
-0.378	2.570	2.368	-0.998	-0.343	2.472	2.328	-0.832	-0.325	2.484	2.354	-0.793
-0.380	2.563	2.356	-1.010	-0.344	2.468	2.324	-0.832	-0.325	2.479	2.349	-0.792
-0.384	2.570	2.385	-0.959	-0.344	2.468	2.324	-0.832	-0.325	2.483	2.353	-0.793
-0.391	2.571	2.372	-0.990	-0.344	2.468	2.324	-0.832	-0.325	2.483	2.353	-0.794
-0.390	2.569	2.404	-0.907	-0.344	2.468	2.324	-0.832	-0.325	2.482	2.352	-0.792
-0.386	2.567	2.388	-0.942	-0.344	2.468	2.324	-0.832	-0.325	2.480	2.350	-0.792
-0.378	2.562	2.422	-0.833	-0.344	2.468	2.324	-0.832	-0.324	2.475	2.346	-0.789
-0.374	2.556	2.399	-0.880	-0.344	2.468	2.324	-0.832	-0.325	2.471	2.342	-0.789
-0.374	2.558	2.386	-0.923	-0.344	2.468	2.324	-0.832	-0.325	2.474	2.345	-0.790
-0.374	2.568	2.378	-0.969	-0.344	2.468	2.324	-0.832	-0.325	2.481	2.351	-0.793
-0.375	2.579	2.369	-1.020	-0.344	2.468	2.324	-0.832	-0.325	2.490	2.359	-0.796
-0.372	2.576	2.400	-0.937	-0.344	2.468	2.324	-0.832	-0.325	2.486	2.356	-0.794
-0.366	2.575	2.446	-0.803	-0.344	2.468	2.324	-0.832	-0.325	2.484	2.354	-0.792
-0.358	2.561	2.460	-0.712	-0.344	2.468	2.324	-0.832	-0.324	2.474	2.345	-0.788
-0.349	2.547	2.444	-0.716	-0.344	2.468	2.324	-0.832	-0.324	2.464	2.336	-0.785
-0.337	2.565	2.447	-0.770	-0.344	2.468	2.324	-0.832	-0.324	2.477	2.348	-0.789
-0.335	2.572	2.455	-0.765	-0.344	2.468	2.324	-0.832	-0.324	2.481	2.352	-0.791
-0.331	2.566	2.443	-0.786	-0.344	2.468	2.324	-0.832	-0.324	2.478	2.349	-0.790
-0.324	2.556	2.417	-0.833	-0.344	2.468	2.324	-0.832	-0.324	2.472	2.343	-0.788
-0.316	2.554	2.408	-0.850	-0.346	2.470	2.324	-0.837	-0.326	2.470	2.340	-0.792
-0.314	2.559	2.399	-0.891	-0.346	2.470	2.324	-0.837	-0.327	2.475	2.344	-0.794
-0.316	2.562	2.397	-0.905	-0.352	2.475	2.324	-0.852	-0.332	2.479	2.343	-0.809
-0.322	2.570	2.427	-0.843	-0.352	2.475	2.324	-0.852	-0.332	2.483	2.347	-0.809
-0.328	2.568	2.420	-0.857	-0.355	2.483	2.328	-0.863	-0.335	2.485	2.346	-0.818
-0.331	2.560	2.424	-0.822	-0.355	2.483	2.328	-0.863	-0.335	2.479	2.341	-0.816
-0.333	2.566	2.444	-0.783	-0.355	2.483	2.328	-0.863	-0.335	2.483	2.345	-0.817
-0.331	2.557	2.428	-0.801	-0.355	2.483	2.328	-0.863	-0.335	2.477	2.339	-0.815
-0.332	2.569	2.431	-0.829	-0.355	2.483	2.328	-0.863	-0.335	2.485	2.346	-0.818
-0.332	2.561	2.411	-0.862	-0.355	2.483	2.328	-0.863	-0.335	2.479	2.341	-0.816
-0.330	2.560	2.444	-0.763	-0.355	2.483	2.328	-0.863	-0.336	2.486	2.347	-0.819
-0.326	2.552	2.409	-0.841	-0.355	2.483	2.328	-0.863	-0.335	2.474	2.336	-0.814
-0.324	2.551	2.433	-0.766	-0.355	2.483	2.328	-0.863	-0.335	2.472	2.335	-0.813
-0.323	2.552	2.415	-0.824	-0.355	2.483	2.328	-0.863	-0.335	2.474	2.336	-0.814
-0.328	2.559	2.387	-0.922	-0.355	2.483	2.328	-0.863	-0.336	2.479	2.341	-0.817
-0.333	2.556	2.393	-0.897	-0.355	2.483	2.328	-0.863	-0.336	2.476	2.338	-0.816
-0.341	2.556	2.354	-0.996	-0.355	2.483	2.328	-0.863	-0.336	2.478	2.339	-0.817
-0.349	2.558	2.361	-0.984	-0.355	2.483	2.328	-0.863	-0.336	2.479	2.340	-0.818
-0.363	2.562	2.370	-0.973	-0.354	2.531	2.374	-0.877	-0.335	2.497	2.358	-0.821
-0.364	2.553	2.414	-0.828	-0.354	2.531	2.374	-0.877	-0.334	2.489	2.351	-0.817
-0.363	2.554	2.419	-0.821	-0.355	2.579	2.418	-0.896	-0.336	2.506	2.366	-0.825
-0.364	2.557	2.411	-0.850	-0.355	2.579	2.418	-0.896	-0.336	2.508	2.368	-0.826
-0.366	2.551	2.411	-0.831	-0.357	2.581	2.419	-0.901	-0.337	2.504	2.363	-0.829
-0.364	2.547	2.389	-0.881	-0.357	2.581	2.419	-0.901	-0.338	2.501	2.360	-0.829
-0.364	2.549	2.390	-0.884	-0.357	2.581	2.419	-0.901	-0.338	2.503	2.362	-0.829
-0.363	2.552	2.372	-0.941	-0.357	2.581	2.419	-0.901	-0.338	2.506	2.364	-0.831
-0.360	2.547	2.388	-0.885	-0.357	2.581	2.419	-0.901	-0.338	2.502	2.361	-0.829
-0.351	2.554	2.410	-0.847	-0.357	2.581	2.419	-0.901	-0.337	2.507	2.366	-0.830
-0.343	2.555	2.433	-0.779	-0.357	2.581	2.419	-0.901	-0.337	2.506	2.365	-0.829
-0.339	2.559	2.417	-0.841	-0.357	2.581	2.419	-0.901	-0.337	2.511	2.369	-0.831
-0.341	2.555	2.393	-0.895	-0.357	2.581	2.419	-0.901	-0.338	2.508	2.366	-0.831
-0.342	2.545	2.406	-0.830	-0.357	2.581	2.419	-0.901	-0.337	2.501	2.360	-0.828
-0.340	2.545	2.416	-0.798	-0.357	2.581	2.419	-0.901	-0.337	2.500	2.359	-0.827
-0.335	2.537	2.421	-0.755	-0.357	2.581	2.419	-0.901	-0.337	2.493	2.353	-0.825
-0.329	2.549	2.417	-0.808	-0.357	2.581	2.419	-0.901	-0.337	2.503	2.362	-0.828
-0.326	2.547	2.393	-0.871	-0.357	2.581	2.419	-0.901	-0.338	2.502	2.361	-0.829
-0.325	2.544	2.405	-0.826	-0.357	2.581	2.419	-0.901	-0.337	2.499	2.358	-0.827
-0.324	2.544	2.425	-0.767	-0.357	2.581	2.419	-0.901	-0.337	2.499	2.358	-0.827
-0.324	2.541	2.428	-0.751	-0.357	2.581	2.419	-0.901	-0.337	2.498	2.357	-0.826
-0.323	2.539	2.417	-0.777	-0.357	2.581	2.419	-0.901	-0.337	2.496	2.355	-0.826
-0.310	2.532	2.444	-0.662	-0.357	2.583	2.421	-0.902	-0.337	2.498	2.357	-0.826
-0.305	2.540	2.434	-0.727	-0.357	2.583	2.421	-0.902	-0.337	2.497	2.356	-0.826
-0.305	2.543	2.407	-0.818	-0.357	2.583	2.421	-0.902	-0.337	2.499	2.358	-0.827
-0.309	2.546	2.344	-0.994	-0.358	2.586	2.422	-0.907	-0.340	2.504	2.361	-0.835
-0.313	2.542	2.357	-0.950	-0.358	2.586	2.422	-0.907	-0.340	2.501	2.358	-0.834
-0.314	2.532	2.391	-0.834	-0.358	2.588	2.424	-0.907	-0.339	2.494	2.352	-0.830
-0.315	2.533	2.392	-0.833	-0.358	2.588	2.424	-0.907	-0.339	2.494	2.352	-0.830
-0.319	2.535	2.373	-0.892	-0.358	2.588	2.424	-0.907	-0.339	2.496	2.354	-0.831
-0.326	2.545	2.347	-0.984	-0.358	2.588	2.424	-0.907	-0.340	2.504	2.361	-0.835
-0.333	2.532	2.379	-0.865	-0.358	2.588	2.424	-0.907	-0.339	2.494	2.352	-0.830
-0.339	2.522	2.408	-0.752	-0.358	2.588	2.424	-0.907	-0.339	2.487	2.346	-0.826
-0.339	2.524	2.405	-0.764	-0.358	2.588	2.424	-0.907	-0.339	2.486	2.345	-0.826
-0.339	2.541	2.362	-0.936	-0.358	2.588	2.424	-0.907	-0.340	2.501	2.358	-0.833
-0.339	2.541	2.340	-0.988	-0.358	2.588	2.424	-0.907	-0.340	2.501	2.358	-0.834
-0.343	2.537	2.368	-0.910	-0.358	2.588	2.424	-0.907	-0.340	2.498	2.355	-0.832
-0.346	2.532	2.404	-0.793	-0.358	2.588	2.424	-0.907	-0.339	2.493	2.351	-0.829
-0.344	2.533	2.420	-0.746	-0.358	2.588	2.424	-0.907	-0.338	2.493	2.352	-0.828
-0.338	2.537	2.408	-0.800	-0.358	2.588	2.424	-0.907	-0.339	2.497	2.355	-0.830
-0.336	2.540	2.365	-0.927	-0.358	2.588	2.424	-0.907	-0.340	2.501	2.358	-0.833
-0.344	2.543	2.317	-1.046	-0.358	2.588	2.424	-0.907	-0.340	2.503	2.360	-0.835
-0.361	2.543	2.246	-1.192	-0.358	2.588	2.424	-0.907	-0.341	2.505	2.361	-0.837
-0.387	2.528	2.332	-0.974	-0.358	2.589	2.425	-0.907	-0.341	2.499	2.355	-0.835
-0.385	2.528	2.378	-0.859	-0.358	2.589	2.425	-0.907	-0.340	2.492	2.350	-0.830
-0.380	2.541	2.413	-0.794	-0.358	2.589	2.425	-0.907	-0.339	2.499	2.357	-0.831
-0.378	2.547	2.412	-0.819	-0.358	2.589	2.425	-0.907	-0.339	2.504	2.362	-0.832
-0.382	2.545	2.383	-0.893	-0.358	2.589	2.425	-0.907	-0.339	2.504	2.361	-0.833
-0.388	2.545	2.363	-0.945	-0.356	2.588	2.425	-0.902	-0.340	2.504	2.361	-0.834
-0.390	2.541	2.329	-1.017	-0.356	2.588	2.425	-0.902	-0.338	2.502	2.360	-0.830
-0.389	2.546	2.388	-0.882	-0.356	2.588	2.425	-0.902	-0.338	2.503	2.362	-0.829
-0.379	2.551	2.362	-0.962	-0.356	2.588	2.425	-0.902	-0.338	2.508	2.366	-0.831
-0.371	2.551	2.368	-0.948	-0.356	2.588	2.425	-0.902	-0.338	2.508	2.366	-0.831
-0.368	2.550	2.341	-1.009	-0.356	2.588	2.425	-0.902	-0.338	2.507	2.365	-0.831
-0.374	2.546	2.301	-1.090	-0.356	2.588	2.425	-0.902	-0.338	2.506	2.364	-0.832
-0.383	2.543	2.407	-0.819	-0.356	2.588	2.425	-0.902	-0.338	2.502	2.361	-0.829
-0.380	2.540	2.418	-0.776	-0.356	2.588	2.425	-0.902	-0.337	2.498	2.358	-0.826
-0.372	2.540	2.442	-0.700	-0.356	2.588	2.425	-0.902	-0.337	2.498	2.358	-0.825
-0.361	2.538	2.456	-0.640	-0.356	2.588	2.425	-0.902	-0.336	2.496	2.356	-0.824
-0.349	2.540	2.445	-0.687	-0.356	2.588	2.425	-0.902	-0.337	2.498	2.358	-0.825
-0.338	2.523	2.425	-0.694	-0.356	2.588	2.425	-0.902	-0.337	2.486	2.346	-0.821
-0.328	2.519	2.417	-0.708	-0.356	2.588	2.425	-0.902	-0.337	2.483	2.344	-0.820
-0.321	2.528	2.365	-0.892	-0.356	2.588	2.425	-0.902	-0.337	2.492	2.351	-0.825
-0.316	2.535	2.326	-1.008	-0.356	2.588	2.425	-0.902	-0.338	2.497	2.356	-0.828
-0.322	2.540	2.324	-1.025	-0.356	2.588	2.425	-0.902	-0.338	2.502	2.360	-0.830
-0.329	2.533	2.374	-0.884	-0.356	2.588	2.425	-0.902	-0.338	2.501	2.360	-0.829
-0.329	2.533	2.374	-0.884	-0.356	2.588	2.425	-0.902	-0.337	2.495	2.354	-0.826
-0.337	2.532	2.410	-0.777	-0.356	2.588	2.425	-0.902	-0.337	2.493	2.353	-0.824
