phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.537	2.315	2.016	1.138	0.475	2.791	2.482	1.277	0.453	2.414	2.171	1.056
0.537	2.311	2.003	1.153	0.475	2.791	2.482	1.277	0.453	2.412	2.169	1.055
0.541	2.294	1.934	1.233	0.475	2.791	2.482	1.277	0.453	2.411	2.168	1.054
0.548	2.290	1.895	1.286	0.475	2.791	2.482	1.277	0.454	2.401	2.158	1.052
0.553	2.282	1.903	1.259	0.475	2.791	2.482	1.277	0.453	2.395	2.153	1.049
0.555	2.281	1.912	1.242	0.475	2.791	2.482	1.277	0.453	2.393	2.151	1.048
0.558	2.274	1.900	1.250	0.475	2.791	2.482	1.277	0.453	2.389	2.148	1.046
0.559	2.277	1.947	1.179	0.475	2.791	2.482	1.277	0.453	2.389	2.148	1.045
0.564	2.286	1.933	1.220	0.475	2.791	2.482	1.277	0.453	2.397	2.155	1.049
0.567	2.297	1.957	1.202	0.475	2.791	2.482	1.277	0.453	2.403	2.161	1.052
0.567	2.296	2.017	1.095	0.475	2.791	2.482	1.277	0.452	2.400	2.159	1.049
0.563	2.294	2.052	1.026	0.478	2.717	2.413	1.249	0.454	2.375	2.135	1.041
0.539	2.293	2.058	1.011	0.478	2.717	2.413	1.249	0.454	2.377	2.136	1.042
0.539	2.293	2.058	1.011	0.477	2.716	2.412	1.247	0.453	2.373	2.134	1.039
0.518	2.301	2.038	1.067	0.477	2.716	2.412	1.247	0.454	2.380	2.139	1.043
0.513	2.310	1.943	1.250	0.477	2.716	2.412	1.247	0.454	2.390	2.147	1.049
0.515	2.310	1.942	1.250	0.477	2.716	2.412	1.247	0.455	2.389	2.146	1.049
0.513	2.304	1.978	1.181	0.477	2.716	2.412	1.247	0.454	2.384	2.142	1.046
0.513	2.287	1.959	1.180	0.477	2.716	2.412	1.247	0.454	2.373	2.132	1.041
0.514	2.282	1.986	1.124	0.477	2.716	2.412	1.247	0.454	2.368	2.128	1.038
0.520	2.288	1.926	1.235	0.477	2.716	2.412	1.247	0.454	2.374	2.133	1.042
0.532	2.302	1.937	1.244	0.477	2.716	2.412	1.247	0.454	2.384	2.142	1.046
0.537	2.297	2.017	1.098	0.477	2.716	2.412	1.247	0.454	2.378	2.137	1.042
0.540	2.296	1.986	1.151	0.477	2.716	2.412	1.247	0.454	2.378	2.137	1.043
0.539	2.289	1.985	1.138	0.477	2.716	2.412	1.247	0.454	2.372	2.132	1.040
0.533	2.289	1.966	1.172	0.477	2.716	2.412	1.247	0.454	2.373	2.133	1.041
0.526	2.278	2.020	1.051	0.477	2.716	2.412	1.247	0.453	2.364	2.125	1.035
0.520	2.284	2.027	1.054	0.477	2.716	2.412	1.247	0.454	2.369	2.129	1.038
0.517	2.280	2.024	1.048	0.477	2.716	2.412	1.247	0.453	2.365	2.126	1.036
0.510	2.278	2.005	1.082	0.477	2.716	2.412	1.247	0.453	2.365	2.126	1.036
0.506	2.291	1.982	1.147	0.479	2.696	2.392	1.243	0.454	2.373	2.133	1.041
0.507	2.291	1.954	1.196	0.479	2.696	2.392	1.243	0.456	2.369	2.127	1.043
0.512	2.298	1.969	1.186	0.479	2.696	2.392	1.243	0.456	2.373	2.131	1.045
