phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.542	1.320	1.128	-0.686	-0.850	1.233	0.814	-0.926	-0.764	1.231	0.889	-0.851
-0.552	1.325	1.102	-0.735	-0.850	1.233	0.814	-0.926	-0.764	1.236	0.892	-0.855
-0.560	1.334	1.048	-0.824	-0.850	1.233	0.814	-0.926	-0.765	1.245	0.898	-0.862
-0.574	1.341	1.040	-0.845	-0.850	1.233	0.814	-0.926	-0.766	1.250	0.901	-0.866
-0.588	1.336	1.027	-0.855	-0.850	1.233	0.814	-0.926	-0.766	1.248	0.900	-0.865
-0.601	1.337	1.050	-0.828	-0.850	1.233	0.814	-0.926	-0.765	1.248	0.900	-0.864
-0.611	1.324	1.072	-0.777	-0.850	1.233	0.814	-0.926	-0.765	1.236	0.892	-0.856
-0.619	1.320	1.089	-0.745	-0.850	1.233	0.814	-0.926	-0.765	1.232	0.889	-0.853
-0.624	1.317	1.075	-0.760	-0.850	1.233	0.814	-0.926	-0.765	1.231	0.888	-0.852
-0.631	1.303	1.095	-0.706	-0.849	1.220	0.806	-0.916	-0.763	1.219	0.881	-0.842
-0.629	1.300	1.143	-0.619	-0.849	1.220	0.806	-0.916	-0.761	1.212	0.877	-0.836
-0.618	1.309	1.156	-0.614	-0.849	1.220	0.806	-0.916	-0.762	1.217	0.881	-0.840
-0.595	1.305	1.183	-0.551	-0.846	1.206	0.800	-0.902	-0.757	1.208	0.878	-0.829
-0.571	1.300	1.155	-0.597	-0.846	1.206	0.800	-0.902	-0.757	1.206	0.877	-0.828
-0.553	1.303	1.124	-0.660	-0.840	1.187	0.793	-0.884	-0.751	1.204	0.880	-0.822
-0.540	1.318	1.107	-0.716	-0.840	1.187	0.793	-0.884	-0.752	1.216	0.888	-0.831
-0.534	1.325	1.114	-0.717	-0.840	1.187	0.793	-0.884	-0.752	1.221	0.892	-0.834
-0.529	1.326	1.114	-0.718	-0.840	1.187	0.793	-0.884	-0.752	1.221	0.892	-0.834
-0.518	1.325	1.139	-0.677	-0.840	1.187	0.793	-0.884	-0.752	1.220	0.891	-0.833
-0.516	1.318	1.128	-0.681	-0.840	1.187	0.793	-0.884	-0.751	1.215	0.888	-0.829
-0.530	1.312	1.134	-0.659	-0.840	1.187	0.793	-0.884	-0.752	1.216	0.888	-0.830
-0.535	1.316	1.124	-0.685	-0.840	1.187	0.793	-0.884	-0.752	1.214	0.887	-0.829
