phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.689	1.135	0.886	0.709	0.538	1.011	0.868	0.518	0.473	1.046	0.931	0.477
0.690	1.138	0.897	0.700	0.538	1.011	0.868	0.518	0.473	1.049	0.934	0.478
0.669	1.136	0.942	0.635	0.538	1.011	0.868	0.518	0.473	1.049	0.934	0.478
0.669	1.136	0.942	0.635	0.538	1.011	0.868	0.518	0.473	1.046	0.931	0.476
0.655	1.127	0.953	0.601	0.538	1.011	0.868	0.518	0.472	1.038	0.924	0.472
0.640	1.118	0.932	0.618	0.538	1.011	0.868	0.518	0.472	1.033	0.920	0.470
0.631	1.118	0.897	0.668	0.538	1.011	0.868	0.518	0.473	1.036	0.922	0.472
0.629	1.123	0.887	0.687	0.542	1.013	0.868	0.523	0.477	1.039	0.923	0.477
0.638	1.142	0.871	0.739	0.542	1.013	0.868	0.523	0.477	1.047	0.930	0.481
0.640	1.140	0.884	0.720	0.542	1.013	0.868	0.523	0.478	1.055	0.937	0.485
0.644	1.125	0.840	0.748	0.544	1.023	0.876	0.530	0.480	1.048	0.929	0.484
0.652	1.119	0.791	0.791	0.544	1.023	0.876	0.530	0.481	1.047	0.928	0.484
0.666	1.123	0.835	0.751	0.544	1.023	0.876	0.530	0.480	1.046	0.928	0.483
0.678	1.124	0.871	0.711	0.544	1.023	0.876	0.530	0.479	1.045	0.927	0.482
0.687	1.127	0.879	0.706	0.544	1.023	0.876	0.530	0.479	1.047	0.929	0.483
0.693	1.126	0.894	0.684	0.546	1.014	0.866	0.526	0.480	1.042	0.924	0.481
0.692	1.133	0.889	0.703	0.546	1.014	0.866	0.526	0.480	1.048	0.929	0.484
0.687	1.122	0.908	0.659	0.546	1.014	0.866	0.526	0.480	1.038	0.921	0.479
0.683	1.119	0.892	0.675	0.546	1.014	0.866	0.526	0.480	1.036	0.919	0.479
0.680	1.119	0.892	0.675	0.546	1.014	0.866	0.526	0.480	1.036	0.919	0.479
0.675	1.125	0.900	0.676	0.546	1.014	0.866	0.526	0.480	1.041	0.923	0.481
0.658	1.122	0.920	0.642	0.546	1.014	0.866	0.526	0.480	1.037	0.920	0.479
0.649	1.120	0.936	0.614	0.546	1.014	0.866	0.526	0.479	1.035	0.918	0.477
0.625	1.129	0.878	0.709	0.546	1.014	0.866	0.526	0.479	1.031	0.915	0.475
0.630	1.123	0.862	0.720	0.546	1.014	0.866	0.526	0.481	1.042	0.924	0.482
0.640	1.107	0.810	0.755	0.546	1.014	0.866	0.526	0.482	1.034	0.916	0.479
0.646	1.105	0.818	0.743	0.546	1.014	0.866	0.526	0.481	1.031	0.914	0.477
0.653	1.108	0.829	0.734	0.546	1.014	0.866	0.526	0.481	1.032	0.915	0.478
0.662	1.113	0.876	0.686	0.546	1.014	0.866	0.526	0.480	1.033	0.916	0.477
0.664	1.118	0.944	0.599	0.546	1.014	0.866	0.526	0.479	1.032	0.916	0.476
0.663	1.115	0.932	0.612	0.546	1.014	0.866	0.526	0.480	1.031	0.915	0.476
0.659	1.110	0.892	0.659	0.544	0.998	0.854	0.516	0.477	1.026	0.911	0.471
0.659	1.110	0.892	0.659	0.544	0.998	0.854	0.516	0.478	1.025	0.910	0.471
0.651	1.121	0.905	0.661	0.544	1.003	0.858	0.520	0.478	1.034	0.918	0.476
0.640	1.120	0.913	0.649	0.544	1.003	0.858	0.520	0.478	1.033	0.917	0.475
0.634	1.117	0.857	0.715	0.544	1.003	0.858	0.520	0.478	1.034	0.918	0.476
0.626	1.123	0.886	0.690	0.544	1.003	0.858	0.520	0.478	1.036	0.920	0.477
0.621	1.122	0.905	0.663	0.544	1.003	0.858	0.520	0.478	1.035	0.919	0.476
0.622	1.125	0.914	0.656	0.544	1.003	0.858	0.520	0.478	1.036	0.920	0.477
0.626	1.109	0.874	0.683	0.544	1.003	0.858	0.520	0.478	1.027	0.912	0.473
0.647	1.111	0.863	0.699	0.544	1.003	0.858	0.520	0.478	1.030	0.914	0.474
0.651	1.111	0.869	0.691	0.544	1.003	0.858	0.520	0.479	1.029	0.913	0.474
0.658	1.113	0.875	0.687	0.544	1.003	0.858	0.520	0.478	1.030	0.914	0.474
0.660	1.105	0.855	0.699	0.544	1.003	0.858	0.520	0.478	1.025	0.910	0.472
0.659	1.101	0.867	0.679	0.544	1.003	0.858	0.520	0.479	1.022	0.907	0.471
0.662	1.107	0.857	0.699	0.544	1.003	0.858	0.520	0.479	1.026	0.911	0.473
0.664	1.107	0.831	0.731	0.544	1.003	0.858	0.520	0.479	1.029	0.913	0.474
0.671	1.098	0.830	0.719	0.544	1.003	0.858	0.520	0.479	1.022	0.907	0.471
