phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.188	1.425	1.390	0.313	-0.035	1.384	1.383	0.048	0.033	1.350	1.349	0.045
0.187	1.429	1.407	0.251	-0.035	1.384	1.383	0.048	0.033	1.359	1.358	0.045
0.181	1.417	1.400	0.218	-0.033	1.384	1.383	0.045	0.031	1.350	1.349	0.042
0.175	1.422	1.393	0.285	-0.033	1.370	1.369	0.045	0.032	1.350	1.349	0.043
0.171	1.424	1.399	0.265	-0.033	1.370	1.369	0.045	0.032	1.351	1.350	0.043
0.173	1.434	1.404	0.287	-0.033	1.370	1.369	0.045	0.032	1.357	1.356	0.043
0.177	1.432	1.398	0.310	-0.033	1.370	1.369	0.045	0.032	1.357	1.356	0.043
0.186	1.441	1.404	0.324	-0.033	1.370	1.369	0.045	0.032	1.363	1.362	0.044
0.195	1.431	1.389	0.343	-0.033	1.370	1.369	0.045	0.032	1.356	1.355	0.044
0.200	1.427	1.404	0.255	-0.033	1.370	1.369	0.045	0.032	1.353	1.352	0.043
0.196	1.440	1.414	0.272	-0.033	1.370	1.369	0.045	0.032	1.360	1.359	0.043
0.195	1.445	1.419	0.268	-0.033	1.370	1.369	0.045	0.032	1.365	1.364	0.043
0.199	1.442	1.408	0.307	-0.033	1.370	1.369	0.045	0.032	1.363	1.362	0.043
0.202	1.439	1.400	0.335	-0.033	1.370	1.369	0.045	0.032	1.362	1.361	0.044
0.204	1.453	1.406	0.369	-0.033	1.370	1.369	0.045	0.032	1.372	1.371	0.044
0.208	1.468	1.420	0.370	-0.033	1.370	1.369	0.045	0.033	1.381	1.380	0.045
0.213	1.464	1.394	0.447	-0.033	1.370	1.369	0.045	0.033	1.380	1.379	0.045
0.216	1.463	1.408	0.398	-0.033	1.370	1.369	0.045	0.033	1.379	1.378	0.045
0.223	1.446	1.397	0.372	-0.033	1.370	1.369	0.045	0.032	1.367	1.366	0.044
0.232	1.450	1.407	0.347	-0.033	1.370	1.369	0.045	0.032	1.369	1.368	0.044
0.238	1.449	1.411	0.327	-0.033	1.370	1.369	0.045	0.032	1.368	1.367	0.044
0.247	1.460	1.422	0.331	-0.033	1.370	1.369	0.045	0.032	1.376	1.375	0.044
0.251	1.452	1.409	0.351	-0.033	1.355	1.354	0.045	0.032	1.366	1.365	0.044
0.258	1.451	1.401	0.378	-0.033	1.355	1.354	0.045	0.033	1.366	1.365	0.045
0.261	1.453	1.388	0.430	-0.033	1.355	1.354	0.045	0.033	1.368	1.367	0.045
0.262	1.456	1.407	0.373	-0.034	1.347	1.346	0.045	0.033	1.366	1.365	0.045
0.261	1.450	1.414	0.320	-0.034	1.347	1.346	0.045	0.032	1.362	1.361	0.044
0.255	1.449	1.408	0.341	-0.033	1.325	1.324	0.044	0.032	1.354	1.353	0.043
0.251	1.446	1.411	0.313	-0.033	1.325	1.324	0.044	0.032	1.351	1.350	0.043
0.251	1.445	1.403	0.343	-0.033	1.311	1.310	0.044	0.033	1.347	1.346	0.044
0.252	1.440	1.393	0.363	-0.033	1.311	1.310	0.044	0.033	1.344	1.343	0.044
0.253	1.448	1.400	0.369	-0.033	1.311	1.310	0.044	0.033	1.349	1.348	0.044
0.252	1.464	1.424	0.339	-0.033	1.311	1.310	0.044	0.032	1.360	1.359	0.044
0.232	1.468	1.451	0.228	-0.033	1.311	1.310	0.044	0.032	1.362	1.361	0.043
0.218	1.465	1.444	0.247	-0.033	1.311	1.310	0.044	0.032	1.360	1.359	0.043
0.209	1.454	1.438	0.210	-0.033	1.311	1.310	0.044	0.031	1.351	1.350	0.042
0.205	1.454	1.427	0.279	-0.033	1.311	1.310	0.044	0.032	1.352	1.351	0.043
0.204	1.447	1.411	0.317	-0.033	1.311	1.310	0.044	0.032	1.348	1.347	0.043
0.198	1.455	1.435	0.241	-0.033	1.311	1.310	0.044	0.032	1.353	1.352	0.043
0.195	1.441	1.412	0.290	-0.033	1.311	1.310	0.044	0.032	1.344	1.343	0.043
0.196	1.434	1.380	0.388	-0.033	1.311	1.310	0.044	0.033	1.340	1.339	0.044
0.199	1.438	1.385	0.386	-0.033	1.311	1.310	0.044	0.033	1.343	1.342	0.044
0.207	1.428	1.376	0.383	-0.033	1.311	1.310	0.044	0.033	1.336	1.335	0.044
0.215	1.421	1.379	0.346	-0.033	1.311	1.310	0.044	0.032	1.331	1.330	0.043
0.223	1.423	1.384	0.333	-0.033	1.311	1.310	0.044	0.032	1.332	1.331	0.043
0.233	1.435	1.406	0.287	-0.033	1.311	1.310	0.044	0.032	1.340	1.339	0.043
0.233	1.440	1.408	0.298	-0.033	1.310	1.310	0.044	0.032	1.343	1.342	0.043
0.236	1.447	1.419	0.283	-0.033	1.310	1.310	0.044	0.032	1.348	1.347	0.043
0.236	1.457	1.426	0.294	-0.033	1.310	1.310	0.044	0.032	1.354	1.353	0.043
0.233	1.466	1.432	0.313	-0.034	1.304	1.303	0.044	0.032	1.359	1.358	0.044
0.230	1.459	1.419	0.339	-0.034	1.304	1.303	0.044	0.033	1.354	1.353	0.044
0.225	1.461	1.415	0.363	-0.034	1.297	1.297	0.044	0.033	1.354	1.353	0.044
0.227	1.451	1.394	0.401	-0.034	1.297	1.297	0.044	0.033	1.347	1.346	0.045
0.233	1.445	1.379	0.433	-0.034	1.297	1.297	0.044	0.033	1.344	1.343	0.045
0.238	1.451	1.389	0.419	-0.034	1.297	1.297	0.044	0.033	1.348	1.347	0.045
