phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.541	2.091	1.771	1.110	0.348	1.502	1.412	0.512	0.320	1.850	1.756	0.581
0.541	2.091	1.771	1.110	0.348	1.502	1.412	0.512	0.320	1.853	1.759	0.582
0.544	2.093	1.782	1.097	0.348	1.502	1.412	0.512	0.319	1.854	1.760	0.582
0.548	2.086	1.810	1.037	0.348	1.502	1.412	0.512	0.319	1.848	1.755	0.580
0.551	2.088	1.810	1.040	0.348	1.502	1.412	0.512	0.319	1.849	1.756	0.580
0.552	2.091	1.807	1.051	0.307	1.694	1.615	0.513	0.286	1.913	1.836	0.539
0.554	2.095	1.800	1.073	0.275	1.888	1.817	0.513	0.258	1.980	1.914	0.506
0.545	2.084	1.823	1.011	0.275	1.888	1.817	0.513	0.258	1.974	1.909	0.504
0.534	2.087	1.859	0.948	0.277	1.889	1.817	0.516	0.259	1.972	1.906	0.506
0.520	2.083	1.872	0.915	0.277	1.889	1.817	0.516	0.259	1.970	1.904	0.505
0.510	2.085	1.835	0.989	0.277	1.889	1.817	0.516	0.260	1.971	1.905	0.506
0.505	2.088	1.794	1.068	0.279	1.918	1.844	0.527	0.262	1.985	1.917	0.514
0.503	2.087	1.812	1.035	0.279	1.918	1.844	0.527	0.262	1.983	1.915	0.513
0.500	2.088	1.853	0.962	0.279	1.918	1.844	0.527	0.261	1.982	1.915	0.512
0.494	2.098	1.880	0.929	0.279	1.918	1.844	0.527	0.261	1.988	1.921	0.513
0.490	2.097	1.839	1.007	0.279	1.918	1.844	0.527	0.261	1.989	1.921	0.514
0.490	2.089	1.795	1.069	0.279	1.918	1.844	0.527	0.262	1.986	1.918	0.514
0.493	2.088	1.829	1.008	0.279	1.918	1.844	0.527	0.261	1.984	1.917	0.513
0.498	2.087	1.826	1.010	0.279	1.918	1.844	0.527	0.262	1.983	1.916	0.513
0.505	2.081	1.774	1.086	0.279	1.918	1.844	0.527	0.262	1.980	1.912	0.513
0.512	2.081	1.735	1.148	0.279	1.918	1.844	0.527	0.262	1.981	1.913	0.514
