phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.567	2.332	1.965	1.255	0.505	2.114	1.851	1.022	0.474	2.210	1.967	1.008
0.573	2.323	1.843	1.415	0.504	2.085	1.826	1.007	0.474	2.210	1.967	1.008
0.576	2.320	1.865	1.378	0.504	2.085	1.826	1.007	0.474	2.195	1.953	1.001
0.570	2.317	1.952	1.249	0.504	2.085	1.825	1.007	0.473	2.191	1.951	0.998
0.556	2.312	1.988	1.181	0.504	2.085	1.825	1.007	0.472	2.187	1.947	0.995
0.547	2.320	2.029	1.125	0.504	2.085	1.825	1.007	0.472	2.191	1.951	0.996
0.544	2.319	1.983	1.202	0.504	2.085	1.825	1.007	0.472	2.191	1.951	0.997
0.550	2.314	1.927	1.280	0.504	2.085	1.825	1.007	0.473	2.189	1.949	0.997
0.574	2.326	1.962	1.249	0.504	2.085	1.825	1.007	0.473	2.196	1.955	1.001
0.574	2.326	1.962	1.249	0.504	2.085	1.825	1.007	0.473	2.197	1.956	1.000
0.574	2.320	1.977	1.214	0.504	2.085	1.825	1.007	0.473	2.192	1.952	0.998
0.557	2.329	1.985	1.218	0.504	2.085	1.825	1.007	0.473	2.198	1.957	1.001
0.555	2.342	1.952	1.294	0.504	2.085	1.825	1.007	0.473	2.208	1.966	1.006
0.555	2.343	2.090	1.060	0.504	2.085	1.825	1.007	0.472	2.205	1.964	1.002
0.551	2.335	2.057	1.105	0.504	2.085	1.825	1.007	0.472	2.200	1.960	1.000
0.548	2.315	2.010	1.147	0.504	2.085	1.825	1.007	0.472	2.187	1.948	0.995
0.545	2.310	1.960	1.222	0.504	2.085	1.825	1.007	0.473	2.186	1.946	0.995
0.541	2.303	1.947	1.230	0.504	2.085	1.825	1.007	0.473	2.181	1.942	0.993
0.539	2.308	1.956	1.225	0.504	2.085	1.825	1.007	0.473	2.185	1.945	0.995
0.533	2.308	2.078	1.005	0.504	2.085	1.825	1.007	0.472	2.181	1.943	0.991
0.525	2.312	2.055	1.058	0.503	2.082	1.825	1.004	0.471	2.183	1.946	0.990
0.514	2.303	1.978	1.178	0.503	2.082	1.825	1.004	0.471	2.178	1.941	0.989
0.518	2.312	1.924	1.281	0.501	2.080	1.824	1.000	0.470	2.186	1.949	0.991
0.524	2.314	1.966	1.220	0.501	2.080	1.824	1.000	0.470	2.187	1.950	0.990
0.526	2.316	2.041	1.095	0.500	2.078	1.824	0.996	0.468	2.186	1.951	0.986
0.520	2.322	2.078	1.034	0.499	2.076	1.823	0.993	0.466	2.187	1.954	0.983
0.509	2.318	2.089	1.004	0.499	2.076	1.823	0.993	0.466	2.185	1.952	0.982
0.498	2.316	2.070	1.038	0.499	2.076	1.823	0.993	0.466	2.184	1.951	0.982
0.500	2.317	1.994	1.179	0.499	2.076	1.823	0.993	0.467	2.186	1.952	0.985
0.508	2.311	2.001	1.157	0.499	2.076	1.823	0.993	0.467	2.183	1.949	0.983
0.513	2.314	1.959	1.230	0.499	2.076	1.823	0.993	0.467	2.185	1.951	0.984
0.514	2.322	2.060	1.070	0.499	2.076	1.823	0.993	0.467	2.188	1.954	0.984
0.499	2.324	2.136	0.914	0.499	2.076	1.823	0.993	0.466	2.187	1.954	0.982
0.472	2.333	2.157	0.887	0.499	2.076	1.823	0.993	0.465	2.193	1.960	0.984
0.465	2.329	2.104	0.998	0.499	2.076	1.823	0.993	0.466	2.192	1.958	0.985
0.467	2.324	2.063	1.070	0.499	2.076	1.823	0.993	0.467	2.190	1.956	0.985
0.471	2.322	2.032	1.124	0.499	2.076	1.823	0.993	0.467	2.189	1.955	0.985
0.472	2.313	1.999	1.163	0.499	2.076	1.823	0.993	0.467	2.184	1.950	0.983
0.468	2.314	2.011	1.143	0.499	2.076	1.823	0.993	0.467	2.184	1.950	0.983
0.466	2.319	1.998	1.176	0.499	2.076	1.823	0.993	0.467	2.188	1.954	0.985
0.467	2.313	2.017	1.131	0.499	2.076	1.823	0.993	0.467	2.182	1.949	0.982
0.473	2.303	2.025	1.096	0.499	2.076	1.823	0.993	0.467	2.176	1.943	0.979
0.478	2.306	2.076	1.004	0.499	2.076	1.823	0.993	0.466	2.176	1.944	0.978
0.486	2.316	2.060	1.058	0.499	2.076	1.823	0.993	0.466	2.184	1.951	0.982
0.488	2.316	2.020	1.131	0.499	2.076	1.823	0.993	0.466	2.184	1.951	0.982
0.490	2.314	2.044	1.085	0.499	2.076	1.823	0.993	0.467	2.183	1.950	0.982
0.489	2.321	2.018	1.147	0.499	2.076	1.823	0.993	0.467	2.189	1.955	0.985
0.492	2.316	1.996	1.174	0.499	2.076	1.823	0.993	0.467	2.186	1.952	0.984
0.494	2.320	1.997	1.181	0.499	2.076	1.823	0.993	0.467	2.190	1.955	0.986
0.496	2.319	1.969	1.225	0.499	2.076	1.823	0.993	0.467	2.189	1.954	0.986
0.502	2.309	1.920	1.283	0.499	2.076	1.823	0.993	0.468	2.183	1.949	0.984
0.516	2.314	1.916	1.296	0.499	2.076	1.823	0.993	0.468	2.187	1.952	0.986
0.530	2.306	1.939	1.248	0.499	2.076	1.823	0.993	0.468	2.181	1.947	0.983
0.538	2.312	2.017	1.129	0.499	2.076	1.823	0.993	0.467	2.182	1.949	0.982
0.542	2.321	1.949	1.261	0.499	2.076	1.823	0.993	0.467	2.189	1.955	0.985
0.549	2.321	1.903	1.328	0.499	2.076	1.823	0.993	0.468	2.193	1.957	0.989
0.557	2.310	1.909	1.301	0.499	2.076	1.823	0.993	0.468	2.185	1.950	0.985
0.559	2.309	1.979	1.190	0.499	2.076	1.823	0.993	0.467	2.182	1.948	0.983
0.553	2.309	2.057	1.049	0.499	2.076	1.823	0.993	0.466	2.180	1.947	0.980
0.544	2.316	2.087	1.005	0.499	2.076	1.823	0.993	0.466	2.184	1.951	0.981
0.521	2.315	2.063	1.050	0.499	2.076	1.823	0.993	0.466	2.184	1.951	0.982
