phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.591	2.030	1.575	1.281	0.277	1.886	1.814	0.515	0.261	1.941	1.875	0.501
0.595	2.028	1.624	1.214	0.277	1.886	1.814	0.515	0.261	1.938	1.872	0.500
0.600	2.022	1.646	1.174	0.277	1.886	1.814	0.515	0.261	1.932	1.867	0.498
0.605	2.026	1.630	1.203	0.277	1.886	1.814	0.515	0.261	1.935	1.870	0.499
0.610	2.028	1.682	1.134	0.277	1.886	1.814	0.515	0.260	1.936	1.871	0.498
0.610	2.030	1.739	1.047	0.277	1.886	1.814	0.515	0.260	1.935	1.870	0.497
0.604	2.025	1.721	1.067	0.277	1.886	1.814	0.515	0.260	1.932	1.867	0.496
0.594	2.026	1.712	1.083	0.277	1.886	1.814	0.515	0.260	1.933	1.868	0.497
0.585	2.020	1.650	1.165	0.277	1.886	1.814	0.515	0.260	1.931	1.866	0.497
0.577	2.023	1.706	1.087	0.276	1.874	1.803	0.511	0.260	1.928	1.863	0.495
0.568	2.023	1.695	1.103	0.276	1.874	1.803	0.511	0.260	1.928	1.863	0.495
0.563	2.036	1.719	1.091	0.276	1.874	1.803	0.511	0.260	1.936	1.871	0.497
0.557	2.041	1.729	1.084	0.276	1.874	1.803	0.511	0.260	1.939	1.874	0.498
0.555	2.033	1.705	1.107	0.278	1.875	1.803	0.515	0.261	1.935	1.869	0.500
0.555	2.031	1.727	1.069	0.278	1.875	1.803	0.515	0.261	1.933	1.867	0.499
0.558	2.039	1.733	1.074	0.280	1.876	1.803	0.519	0.263	1.939	1.872	0.504
0.560	2.036	1.746	1.046	0.280	1.876	1.803	0.519	0.263	1.936	1.869	0.503
0.563	2.035	1.703	1.113	0.280	1.876	1.803	0.519	0.263	1.937	1.870	0.504
0.561	2.029	1.696	1.113	0.280	1.876	1.803	0.519	0.263	1.933	1.866	0.503
0.569	2.040	1.663	1.182	0.280	1.876	1.803	0.519	0.264	1.942	1.875	0.506
0.574	2.048	1.701	1.141	0.280	1.876	1.803	0.519	0.264	1.946	1.879	0.507
0.559	2.034	1.827	0.893	0.280	1.876	1.803	0.519	0.262	1.940	1.874	0.503
0.552	2.017	1.773	0.961	0.280	1.876	1.803	0.519	0.262	1.922	1.856	0.498
0.546	2.006	1.765	0.952	0.280	1.876	1.803	0.519	0.262	1.913	1.848	0.496
0.547	2.010	1.696	1.077	0.280	1.876	1.803	0.519	0.263	1.919	1.853	0.499
0.548	2.014	1.667	1.130	0.280	1.876	1.803	0.519	0.264	1.923	1.857	0.501
0.547	2.025	1.730	1.053	0.280	1.876	1.803	0.519	0.263	1.929	1.863	0.501
0.542	2.039	1.741	1.062	0.280	1.876	1.803	0.519	0.263	1.939	1.872	0.504
0.532	2.041	1.805	0.952	0.280	1.876	1.803	0.519	0.262	1.937	1.871	0.502
