phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.568	1.605	1.391	-0.801	-0.640	1.372	1.100	-0.819	-0.580	1.473	1.232	-0.807
-0.568	1.605	1.391	-0.801	-0.640	1.372	1.100	-0.819	-0.580	1.474	1.233	-0.807
-0.568	1.608	1.407	-0.778	-0.640	1.372	1.100	-0.819	-0.580	1.475	1.234	-0.808
-0.548	1.603	1.424	-0.736	-0.640	1.372	1.100	-0.819	-0.579	1.471	1.231	-0.805
-0.537	1.618	1.416	-0.782	-0.640	1.372	1.100	-0.819	-0.579	1.482	1.240	-0.811
-0.528	1.626	1.409	-0.812	-0.640	1.372	1.100	-0.819	-0.580	1.488	1.245	-0.815
-0.522	1.631	1.420	-0.801	-0.640	1.372	1.100	-0.819	-0.580	1.491	1.247	-0.817
-0.517	1.635	1.427	-0.796	-0.640	1.372	1.100	-0.819	-0.580	1.493	1.249	-0.818
-0.512	1.626	1.426	-0.779	-0.639	1.382	1.110	-0.825	-0.579	1.490	1.247	-0.815
-0.510	1.619	1.397	-0.817	-0.639	1.382	1.110	-0.825	-0.579	1.487	1.244	-0.814
-0.509	1.616	1.374	-0.850	-0.639	1.395	1.120	-0.832	-0.580	1.489	1.246	-0.816
-0.514	1.615	1.349	-0.887	-0.639	1.395	1.120	-0.832	-0.580	1.490	1.246	-0.817
-0.522	1.622	1.355	-0.892	-0.639	1.395	1.120	-0.832	-0.580	1.496	1.251	-0.820
-0.531	1.630	1.385	-0.859	-0.639	1.395	1.120	-0.832	-0.580	1.499	1.254	-0.822
-0.538	1.629	1.412	-0.812	-0.639	1.395	1.120	-0.832	-0.579	1.497	1.253	-0.820
-0.536	1.619	1.443	-0.735	-0.639	1.395	1.120	-0.832	-0.579	1.490	1.247	-0.815
-0.534	1.621	1.443	-0.738	-0.639	1.395	1.120	-0.832	-0.579	1.491	1.248	-0.815
-0.535	1.635	1.433	-0.787	-0.639	1.395	1.120	-0.832	-0.580	1.501	1.256	-0.822
-0.532	1.632	1.434	-0.778	-0.639	1.395	1.120	-0.832	-0.579	1.498	1.254	-0.820
-0.527	1.633	1.440	-0.769	-0.639	1.395	1.120	-0.832	-0.579	1.499	1.255	-0.820
-0.518	1.624	1.458	-0.714	-0.639	1.395	1.120	-0.832	-0.579	1.492	1.249	-0.816
-0.507	1.617	1.447	-0.721	-0.639	1.395	1.120	-0.832	-0.579	1.487	1.245	-0.814
-0.495	1.631	1.460	-0.727	-0.639	1.395	1.120	-0.832	-0.579	1.497	1.253	-0.819
-0.486	1.627	1.452	-0.734	-0.639	1.395	1.120	-0.832	-0.579	1.495	1.251	-0.818
-0.479	1.624	1.462	-0.707	-0.639	1.395	1.120	-0.832	-0.579	1.492	1.249	-0.816
-0.478	1.626	1.428	-0.776	-0.639	1.395	1.120	-0.832	-0.579	1.495	1.251	-0.818
-0.471	1.626	1.459	-0.716	-0.639	1.395	1.120	-0.832	-0.579	1.493	1.250	-0.817
-0.467	1.627	1.451	-0.734	-0.639	1.395	1.120	-0.832	-0.579	1.494	1.251	-0.817
-0.466	1.633	1.435	-0.780	-0.639	1.395	1.120	-0.832	-0.579	1.500	1.255	-0.821
-0.470	1.625	1.420	-0.790	-0.639	1.395	1.120	-0.832	-0.579	1.495	1.251	-0.818
-0.479	1.630	1.355	-0.906	-0.640	1.405	1.127	-0.839	-0.581	1.504	1.257	-0.826
-0.491	1.626	1.353	-0.902	-0.640	1.405	1.127	-0.839	-0.582	1.501	1.254	-0.825
-0.499	1.628	1.405	-0.820	-0.640	1.405	1.127	-0.839	-0.581	1.499	1.253	-0.823
-0.504	1.642	1.432	-0.803	-0.637	1.409	1.133	-0.839	-0.578	1.511	1.265	-0.826
-0.505	1.637	1.434	-0.788	-0.637	1.409	1.133	-0.839	-0.579	1.506	1.261	-0.824
-0.507	1.645	1.434	-0.805	-0.640	1.427	1.144	-0.852	-0.582	1.518	1.268	-0.834
-0.509	1.628	1.468	-0.704	-0.640	1.427	1.144	-0.852	-0.581	1.512	1.264	-0.830
-0.503	1.614	1.491	-0.616	-0.640	1.427	1.144	-0.852	-0.581	1.493	1.248	-0.819
-0.496	1.619	1.444	-0.732	-0.640	1.427	1.144	-0.852	-0.581	1.499	1.253	-0.823
-0.490	1.618	1.408	-0.798	-0.640	1.427	1.144	-0.852	-0.582	1.500	1.253	-0.825
-0.483	1.612	1.411	-0.778	-0.640	1.427	1.144	-0.852	-0.582	1.495	1.249	-0.822
-0.479	1.620	1.426	-0.767	-0.640	1.427	1.144	-0.852	-0.582	1.500	1.253	-0.824
-0.474	1.615	1.437	-0.738	-0.640	1.427	1.144	-0.852	-0.581	1.497	1.251	-0.822
