phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
1.204	1.586	0.000	1.586	0.732	1.275	0.949	0.852	0.669	1.484	1.164	0.921
1.204	1.586	0.000	1.586	0.736	1.269	0.940	0.852	0.674	1.486	1.161	0.927
1.274	1.560	0.181	1.550	0.736	1.269	0.940	0.852	0.674	1.478	1.155	0.922
1.307	1.563	0.332	1.527	0.755	1.243	0.906	0.852	0.687	1.447	1.119	0.918
1.315	1.585	0.549	1.487	0.755	1.243	0.906	0.852	0.685	1.453	1.125	0.920
1.322	1.598	0.709	1.432	0.755	1.243	0.906	0.852	0.685	1.455	1.127	0.920
1.333	1.586	0.429	1.527	0.755	1.243	0.906	0.852	0.686	1.459	1.129	0.924
1.350	1.579	0.244	1.560	0.755	1.243	0.906	0.852	0.688	1.462	1.130	0.928
1.357	1.574	0.340	1.537	0.755	1.243	0.906	0.852	0.687	1.455	1.125	0.922
1.343	1.580	0.382	1.533	0.755	1.243	0.906	0.852	0.687	1.456	1.126	0.923
1.306	1.591	0.657	1.449	0.755	1.243	0.906	0.852	0.684	1.452	1.125	0.918
1.251	1.607	0.844	1.367	0.755	1.243	0.906	0.852	0.684	1.455	1.128	0.919
1.192	1.604	0.915	1.317	0.755	1.243	0.906	0.852	0.683	1.450	1.125	0.915
1.136	1.570	0.698	1.406	0.755	1.243	0.906	0.852	0.683	1.439	1.117	0.908
1.141	1.578	0.639	1.443	0.755	1.243	0.906	0.852	0.684	1.444	1.119	0.913
1.137	1.586	0.784	1.378	0.755	1.243	0.906	0.852	0.683	1.443	1.119	0.911
1.117	1.598	0.912	1.312	0.755	1.243	0.906	0.852	0.683	1.446	1.122	0.912
1.090	1.589	0.728	1.412	0.755	1.243	0.906	0.852	0.684	1.448	1.122	0.915
1.077	1.571	0.427	1.512	0.755	1.243	0.906	0.852	0.686	1.449	1.121	0.918
1.085	1.583	0.683	1.428	0.755	1.243	0.906	0.852	0.684	1.446	1.120	0.914
1.109	1.574	0.556	1.472	0.755	1.243	0.906	0.852	0.685	1.444	1.118	0.914
1.139	1.566	0.496	1.485	0.755	1.243	0.906	0.852	0.686	1.442	1.116	0.913
1.159	1.569	0.600	1.449	0.746	1.181	0.867	0.802	0.674	1.419	1.109	0.886
1.170	1.581	0.736	1.399	0.746	1.181	0.867	0.802	0.674	1.418	1.108	0.885
1.165	1.592	0.772	1.392	0.744	1.162	0.855	0.787	0.673	1.428	1.117	0.890
1.162	1.610	0.916	1.323	0.744	1.162	0.855	0.787	0.668	1.428	1.121	0.885
1.153	1.605	0.893	1.334	0.744	1.162	0.855	0.787	0.668	1.427	1.120	0.884
1.139	1.597	0.787	1.390	0.744	1.162	0.855	0.787	0.669	1.425	1.118	0.884
1.124	1.587	0.702	1.424	0.743	1.161	0.855	0.785	0.669	1.422	1.116	0.882
1.119	1.571	0.383	1.523	0.743	1.161	0.855	0.785	0.671	1.424	1.115	0.886
1.133	1.557	0.239	1.538	0.743	1.161	0.855	0.785	0.672	1.421	1.112	0.885
1.174	1.570	0.000	1.570	0.743	1.161	0.855	0.785	0.674	1.441	1.126	0.899
1.253	1.584	0.000	1.584	0.743	1.161	0.855	0.785	0.674	1.454	1.136	0.907
1.253	1.584	0.000	1.584	0.743	1.161	0.855	0.785	0.674	1.450	1.133	0.905
1.297	1.574	0.483	1.498	0.743	1.161	0.855	0.785	0.671	1.422	1.114	0.884
1.321	1.575	0.649	1.435	0.743	1.161	0.855	0.785	0.669	1.415	1.110	0.878
1.340	1.576	0.510	1.491	0.743	1.161	0.855	0.785	0.670	1.422	1.115	0.883
1.370	1.574	0.123	1.569	0.743	1.161	0.855	0.785	0.673	1.437	1.124	0.896
1.406	1.579	0.000	1.579	0.743	1.161	0.855	0.785	0.674	1.446	1.130	0.902
1.403	1.582	0.536	1.488	0.743	1.161	0.855	0.785	0.670	1.425	1.117	0.885
1.364	1.590	0.747	1.404	0.743	1.161	0.855	0.785	0.668	1.422	1.116	0.881
1.316	1.590	0.719	1.418	0.743	1.161	0.855	0.785	0.669	1.422	1.116	0.882
1.271	1.590	0.697	1.429	0.743	1.161	0.855	0.785	0.669	1.424	1.117	0.883
1.234	1.599	0.688	1.443	0.743	1.161	0.855	0.785	0.669	1.430	1.122	0.887
1.225	1.588	0.755	1.396	0.743	1.161	0.855	0.785	0.669	1.420	1.114	0.880
1.225	1.587	0.712	1.418	0.743	1.161	0.855	0.785	0.669	1.421	1.115	0.881
1.221	1.572	0.338	1.536	0.743	1.161	0.855	0.785	0.671	1.428	1.118	0.888
1.204	1.578	0.382	1.531	0.742	1.160	0.855	0.784	0.670	1.429	1.120	0.888
1.185	1.591	0.669	1.443	0.742	1.160	0.855	0.784	0.668	1.425	1.119	0.883
1.178	1.597	0.739	1.416	0.742	1.160	0.855	0.784	0.668	1.426	1.120	0.883
1.175	1.610	0.786	1.405	0.742	1.159	0.855	0.783	0.667	1.433	1.126	0.887
1.173	1.601	0.771	1.402	0.742	1.159	0.855	0.783	0.667	1.427	1.121	0.883
1.178	1.583	0.626	1.454	0.742	1.159	0.855	0.783	0.668	1.422	1.116	0.881
1.182	1.584	0.703	1.419	0.742	1.157	0.853	0.782	0.668	1.418	1.113	0.878
1.181	1.580	0.803	1.360	0.742	1.157	0.853	0.782	0.667	1.410	1.108	0.872
1.165	1.576	0.733	1.395	0.742	1.157	0.853	0.782	0.667	1.411	1.108	0.873
