phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.075	1.965	1.964	0.071	-0.030	1.817	1.816	0.055	0.029	1.858	1.857	0.054
0.070	1.959	1.958	0.069	-0.030	1.817	1.816	0.055	0.028	1.857	1.856	0.052
0.064	1.962	1.957	0.136	-0.030	1.817	1.816	0.055	0.029	1.858	1.857	0.053
0.065	1.961	1.955	0.149	-0.030	1.817	1.816	0.055	0.029	1.858	1.857	0.053
0.069	1.952	1.947	0.137	-0.030	1.817	1.816	0.055	0.029	1.852	1.851	0.053
0.072	1.941	1.938	0.100	-0.030	1.817	1.816	0.055	0.028	1.844	1.843	0.052
0.070	1.941	1.939	0.074	-0.030	1.817	1.816	0.055	0.028	1.844	1.843	0.052
0.062	1.949	1.948	0.037	-0.030	1.817	1.816	0.055	0.028	1.849	1.848	0.052
0.051	1.951	1.951	-0.026	-0.030	1.817	1.816	0.055	0.028	1.851	1.850	0.051
0.043	1.955	1.954	0.065	-0.030	1.817	1.816	0.055	0.028	1.854	1.853	0.052
0.045	1.966	1.961	0.136	-0.030	1.817	1.816	0.055	0.028	1.861	1.860	0.053
0.049	1.971	1.967	0.118	-0.030	1.817	1.816	0.055	0.028	1.864	1.863	0.053
0.050	1.973	1.968	0.130	-0.030	1.817	1.816	0.055	0.028	1.866	1.865	0.053
0.053	1.976	1.962	0.234	-0.030	1.817	1.816	0.055	0.029	1.868	1.867	0.054
0.054	1.964	1.960	0.131	-0.030	1.817	1.816	0.055	0.029	1.860	1.859	0.053
0.057	1.955	1.948	0.156	-0.030	1.817	1.816	0.055	0.029	1.853	1.852	0.053
0.059	1.958	1.957	0.066	-0.030	1.817	1.816	0.055	0.028	1.856	1.855	0.052
0.058	1.961	1.961	0.009	-0.030	1.817	1.816	0.055	0.027	1.858	1.857	0.051
0.057	1.968	1.967	0.047	-0.030	1.817	1.816	0.055	0.028	1.862	1.861	0.052
0.052	1.962	1.962	-0.019	-0.030	1.805	1.804	0.055	0.028	1.855	1.854	0.051
0.047	1.964	1.962	0.098	-0.030	1.805	1.804	0.055	0.029	1.856	1.855	0.053
0.046	1.964	1.957	0.158	-0.030	1.805	1.804	0.055	0.029	1.856	1.855	0.053
0.046	1.967	1.962	0.144	-0.031	1.793	1.793	0.055	0.029	1.855	1.854	0.053
0.045	1.963	1.961	0.092	-0.031	1.793	1.793	0.055	0.029	1.855	1.854	0.053
0.043	1.966	1.965	0.074	-0.031	1.793	1.793	0.055	0.028	1.854	1.853	0.052
0.043	1.967	1.965	0.099	-0.031	1.793	1.793	0.055	0.029	1.855	1.854	0.053
0.044	1.975	1.975	0.011	-0.031	1.793	1.793	0.055	0.028	1.860	1.859	0.052
0.046	1.972	1.970	0.097	-0.031	1.793	1.793	0.055	0.029	1.858	1.857	0.053
0.054	1.966	1.955	0.202	-0.031	1.793	1.793	0.055	0.029	1.854	1.853	0.054
0.061	1.964	1.955	0.189	-0.031	1.793	1.793	0.055	0.029	1.853	1.852	0.054
0.060	1.960	1.952	0.179	-0.031	1.793	1.793	0.055	0.029	1.850	1.849	0.053
0.070	1.967	1.945	0.293	-0.031	1.793	1.793	0.055	0.029	1.854	1.853	0.054
0.070	1.967	1.945	0.293	-0.031	1.793	1.793	0.055	0.030	1.855	1.854	0.055
0.085	1.965	1.957	0.177	-0.031	1.793	1.793	0.055	0.029	1.853	1.852	0.054
0.088	1.964	1.963	0.062	-0.031	1.793	1.793	0.055	0.028	1.852	1.851	0.052
0.086	1.945	1.944	0.068	-0.031	1.793	1.793	0.055	0.029	1.850	1.849	0.053
0.086	1.945	1.944	0.068	-0.031	1.793	1.793	0.055	0.028	1.840	1.839	0.052
0.081	1.954	1.950	0.137	-0.031	1.793	1.793	0.055	0.029	1.846	1.845	0.053
0.084	1.950	1.942	0.184	-0.031	1.793	1.793	0.055	0.029	1.844	1.843	0.053
0.087	1.954	1.936	0.263	-0.031	1.793	1.792	0.055	0.029	1.846	1.845	0.054
0.091	1.962	1.939	0.298	-0.031	1.793	1.792	0.055	0.030	1.851	1.850	0.055
0.093	1.963	1.941	0.292	-0.031	1.792	1.792	0.055	0.030	1.852	1.851	0.055
0.097	1.947	1.934	0.221	-0.031	1.792	1.792	0.055	0.029	1.848	1.847	0.054
0.097	1.947	1.934	0.221	-0.031	1.792	1.792	0.055	0.029	1.841	1.840	0.054
0.113	1.955	1.933	0.293	-0.031	1.792	1.792	0.055	0.030	1.847	1.846	0.055
0.122	1.961	1.946	0.245	-0.031	1.792	1.792	0.055	0.029	1.851	1.850	0.054
0.131	1.958	1.933	0.316	-0.031	1.792	1.791	0.055	0.030	1.849	1.848	0.055
0.140	1.955	1.930	0.309	-0.031	1.792	1.791	0.055	0.030	1.846	1.845	0.055
0.147	1.953	1.915	0.384	-0.031	1.792	1.791	0.055	0.030	1.846	1.845	0.056
0.151	1.952	1.920	0.350	-0.031	1.792	1.791	0.055	0.030	1.845	1.844	0.055
0.150	1.951	1.938	0.229	-0.031	1.792	1.791	0.055	0.029	1.844	1.843	0.054
0.146	1.952	1.944	0.176	-0.031	1.792	1.791	0.055	0.029	1.844	1.843	0.053
0.139	1.955	1.953	0.089	-0.031	1.792	1.791	0.055	0.028	1.846	1.845	0.052
0.131	1.967	1.965	0.090	-0.031	1.792	1.791	0.055	0.029	1.854	1.853	0.053
0.125	1.957	1.953	0.131	-0.031	1.792	1.791	0.055	0.029	1.848	1.847	0.053
0.121	1.952	1.948	0.125	-0.031	1.792	1.791	0.055	0.029	1.844	1.843	0.053
0.108	1.958	1.955	0.119	-0.031	1.792	1.791	0.055	0.029	1.848	1.847	0.053
0.095	1.946	1.944	0.075	-0.031	1.792	1.791	0.055	0.028	1.839	1.838	0.052
0.082	1.944	1.939	0.129	-0.031	1.792	1.791	0.055	0.029	1.838	1.837	0.053
