phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-1.302	0.883	0.120	-0.875	-0.481	0.723	0.641	-0.334	-1.548	0.820	0.019	-0.820
-1.359	0.830	0.270	-0.785	-0.481	0.723	0.641	-0.334	-1.526	0.781	0.035	-0.780
-1.367	0.780	0.430	-0.650	-0.481	0.723	0.641	-0.334	-1.101	0.674	0.305	-0.601
-1.359	0.734	0.456	-0.575	-0.481	0.723	0.641	-0.334	-1.016	0.621	0.327	-0.528
-1.321	0.704	0.548	-0.442	-0.481	0.722	0.640	-0.334	-0.411	0.661	0.606	-0.264
-1.228	0.684	0.588	-0.350	-0.481	0.722	0.640	-0.334	-0.409	0.641	0.588	-0.255
-1.122	0.671	0.605	-0.288	-0.481	0.722	0.640	-0.334	-0.407	0.628	0.577	-0.249
-0.995	0.664	0.643	-0.168	-0.482	0.721	0.639	-0.334	-0.407	0.620	0.569	-0.245
-0.846	0.656	0.656	0.005	-0.482	0.721	0.639	-0.334	-0.404	0.611	0.562	-0.240
-0.680	0.664	0.624	0.225	-0.470	0.716	0.639	-0.324	0.405	0.515	0.473	0.203
-0.516	0.700	0.653	0.252	-0.432	0.703	0.639	-0.294	0.427	0.553	0.503	0.229
-0.187	0.759	0.727	0.219	-0.432	0.703	0.639	-0.294	0.452	0.579	0.521	0.253
-0.187	0.759	0.727	0.219	-0.432	0.703	0.639	-0.294	0.336	0.609	0.575	0.201
-0.071	0.774	0.760	0.149	-0.374	0.688	0.640	-0.251	0.222	0.621	0.606	0.137
0.108	0.791	0.760	0.221	-0.306	0.674	0.642	-0.203	0.324	0.641	0.608	0.204
0.197	0.798	0.734	0.314	-0.306	0.674	0.642	-0.203	0.460	0.653	0.585	0.290
0.270	0.799	0.725	0.335	-0.238	0.661	0.643	-0.156	0.492	0.655	0.577	0.309
0.322	0.808	0.714	0.376	-0.238	0.661	0.643	-0.156	0.549	0.665	0.567	0.347
0.352	0.831	0.743	0.371	-0.195	0.656	0.644	-0.127	0.524	0.687	0.595	0.344
0.370	0.870	0.792	0.360	-0.195	0.656	0.644	-0.127	0.543	0.714	0.611	0.369
0.370	0.870	0.792	0.360	-0.195	0.656	0.644	-0.127	0.543	0.714	0.611	0.369
0.379	0.898	0.866	0.239	-0.142	0.655	0.648	-0.093	-0.113	0.756	0.751	-0.085
0.379	0.898	0.866	0.239	-0.142	0.655	0.648	-0.093	-0.113	0.761	0.756	-0.086
0.390	0.918	0.887	0.238	-0.086	0.654	0.652	-0.056	-0.066	0.772	0.770	-0.051
0.390	0.918	0.887	0.238	-0.086	0.654	0.652	-0.056	-0.067	0.774	0.772	-0.052
0.377	0.958	0.901	0.327	-0.086	0.654	0.652	-0.056	-0.066	0.804	0.802	-0.053
0.367	0.947	0.889	0.326	-0.064	0.658	0.657	-0.042	-0.049	0.797	0.796	-0.039
0.356	0.940	0.872	0.350	-0.064	0.658	0.657	-0.042	-0.048	0.793	0.792	-0.038
0.332	0.920	0.865	0.315	-0.064	0.662	0.660	-0.042	-0.048	0.789	0.788	-0.038
0.332	0.920	0.865	0.315	-0.064	0.662	0.661	-0.042	-0.049	0.780	0.779	-0.038
0.336	0.933	0.866	0.344	-0.064	0.662	0.661	-0.042	-0.048	0.789	0.788	-0.038
0.342	0.941	0.888	0.312	-0.064	0.662	0.661	-0.042	-0.049	0.794	0.793	-0.039
0.352	0.961	0.884	0.376	-0.064	0.662	0.661	-0.042	0.447	0.814	0.734	0.352
0.366	0.959	0.873	0.396	-0.064	0.664	0.663	-0.042	0.474	0.814	0.724	0.371
0.372	0.949	0.880	0.354	-0.064	0.664	0.663	-0.042	-0.047	0.801	0.800	-0.038
0.376	0.950	0.886	0.344	-0.064	0.664	0.663	-0.042	-0.049	0.802	0.801	-0.039
0.373	0.945	0.877	0.351	-0.077	0.666	0.664	-0.051	-0.059	0.798	0.797	-0.047
0.373	0.950	0.890	0.332	-0.089	0.667	0.664	-0.059	-0.069	0.802	0.800	-0.055
0.375	0.945	0.885	0.331	-0.089	0.667	0.664	-0.059	-0.069	0.798	0.796	-0.055
0.373	0.937	0.878	0.328	-0.091	0.667	0.664	-0.061	-0.071	0.793	0.791	-0.056
0.371	0.945	0.898	0.296	-0.091	0.667	0.664	-0.061	-0.071	0.798	0.796	-0.057
0.362	0.952	0.912	0.273	-0.092	0.667	0.664	-0.061	-0.072	0.801	0.799	-0.058
0.347	0.966	0.935	0.243	-0.092	0.667	0.664	-0.061	-0.073	0.810	0.808	-0.059
0.338	0.948	0.906	0.280	-0.094	0.667	0.664	-0.063	-0.071	0.799	0.797	-0.057
0.331	0.939	0.891	0.295	-0.094	0.667	0.664	-0.063	-0.073	0.793	0.791	-0.058
0.328	0.932	0.884	0.296	-0.096	0.665	0.662	-0.064	-0.075	0.788	0.786	-0.059
0.315	0.932	0.908	0.208	-0.096	0.665	0.662	-0.064	-0.075	0.785	0.783	-0.059
0.299	0.937	0.919	0.183	-0.098	0.665	0.662	-0.065	-0.079	0.789	0.787	-0.062
0.281	0.925	0.909	0.170	-0.098	0.665	0.662	-0.065	-0.078	0.780	0.778	-0.061
0.262	0.943	0.907	0.260	-0.100	0.663	0.660	-0.066	-0.080	0.787	0.784	-0.063
0.260	0.949	0.921	0.229	-0.102	0.663	0.660	-0.067	-0.080	0.798	0.795	-0.064
0.257	0.957	0.921	0.259	-0.102	0.663	0.660	-0.067	-0.080	0.804	0.801	-0.064
0.251	0.955	0.926	0.236	-0.104	0.663	0.660	-0.069	-0.082	0.802	0.799	-0.066
0.243	0.938	0.910	0.227	-0.104	0.663	0.660	-0.069	-0.082	0.790	0.787	-0.065
0.237	0.930	0.895	0.251	-0.104	0.663	0.660	-0.069	-0.082	0.785	0.782	-0.064
0.238	0.929	0.893	0.254	-0.104	0.663	0.660	-0.069	-0.082	0.784	0.781	-0.064
0.261	0.939	0.884	0.315	-0.104	0.663	0.660	-0.069	-0.081	0.793	0.790	-0.064
0.277	0.939	0.879	0.330	-0.104	0.663	0.660	-0.069	-0.081	0.794	0.791	-0.064
0.303	0.947	0.913	0.252	-0.104	0.663	0.660	-0.069	0.452	0.810	0.729	0.354
0.303	0.947	0.913	0.252	-0.104	0.663	0.660	-0.069	-0.082	0.797	0.794	-0.065
0.305	0.937	0.910	0.224	-0.104	0.663	0.660	-0.069	-0.082	0.790	0.787	-0.065
0.303	0.940	0.905	0.253	-0.102	0.663	0.660	-0.068	-0.081	0.792	0.789	-0.064
0.300	0.920	0.903	0.176	-0.102	0.663	0.660	-0.068	-0.081	0.777	0.774	-0.063
0.294	0.925	0.902	0.206	-0.101	0.663	0.660	-0.067	-0.081	0.781	0.778	-0.063
0.290	0.929	0.899	0.233	-0.101	0.663	0.660	-0.067	-0.080	0.784	0.781	-0.063
0.286	0.936	0.898	0.265	-0.101	0.663	0.660	-0.067	-0.080	0.790	0.787	-0.063
0.271	0.951	0.915	0.258	-0.101	0.663	0.660	-0.067	-0.080	0.800	0.797	-0.064
0.263	0.942	0.912	0.236	-0.101	0.663	0.660	-0.067	-0.080	0.793	0.790	-0.063
0.263	0.929	0.883	0.287	-0.101	0.663	0.660	-0.067	-0.079	0.784	0.782	-0.062
0.285	0.929	0.898	0.240	-0.100	0.665	0.662	-0.066	-0.079	0.783	0.781	-0.062
0.285	0.929	0.898	0.240	-0.100	0.665	0.662	-0.066	-0.079	0.783	0.781	-0.062
0.279	0.933	0.911	0.203	-0.099	0.665	0.662	-0.066	-0.079	0.787	0.785	-0.062
0.275	0.937	0.903	0.249	-0.099	0.665	0.662	-0.066	-0.079	0.790	0.788	-0.062
0.274	0.931	0.897	0.248	-0.099	0.663	0.660	-0.066	-0.079	0.785	0.783	-0.062
