phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.189	2.092	2.039	-0.471	-0.592	2.030	1.685	-1.133	-0.554	2.020	1.718	-1.063
-0.198	2.102	2.033	-0.536	-0.592	2.030	1.685	-1.133	-0.554	2.013	1.712	-1.059
-0.218	2.082	1.985	-0.627	-0.588	2.027	1.686	-1.125	-0.551	2.004	1.707	-1.049
-0.252	2.092	1.993	-0.637	-0.585	2.023	1.687	-1.117	-0.551	1.999	1.703	-1.046
-0.268	2.099	1.969	-0.725	-0.585	2.022	1.686	-1.116	-0.548	2.009	1.715	-1.047
-0.277	2.096	2.000	-0.626	-0.583	2.020	1.686	-1.112	-0.546	2.006	1.715	-1.041
-0.286	2.091	1.951	-0.753	-0.583	2.020	1.686	-1.112	-0.546	2.005	1.713	-1.042
-0.298	2.089	1.974	-0.681	-0.582	2.019	1.687	-1.110	-0.545	1.998	1.709	-1.035
-0.303	2.098	1.964	-0.737	-0.582	2.019	1.687	-1.110	-0.545	2.008	1.717	-1.041
-0.302	2.094	2.003	-0.610	-0.582	2.019	1.687	-1.110	-0.544	2.005	1.715	-1.038
-0.304	2.089	2.020	-0.529	-0.582	2.019	1.687	-1.110	-0.544	2.000	1.711	-1.035
-0.304	2.094	2.044	-0.456	-0.582	2.020	1.688	-1.110	-0.543	2.004	1.715	-1.036
-0.299	2.082	2.031	-0.461	-0.582	2.020	1.688	-1.110	-0.544	1.996	1.708	-1.032
-0.292	2.080	2.012	-0.528	-0.582	2.021	1.689	-1.110	-0.544	1.995	1.707	-1.032
-0.272	2.095	1.977	-0.693	-0.581	2.022	1.690	-1.111	-0.544	1.981	1.695	-1.026
-0.276	2.087	2.013	-0.551	-0.583	2.025	1.690	-1.115	-0.546	2.000	1.710	-1.038
-0.279	2.081	2.025	-0.479	-0.583	2.025	1.690	-1.115	-0.545	1.996	1.707	-1.035
-0.282	2.076	2.028	-0.443	-0.585	2.028	1.691	-1.119	-0.547	1.997	1.705	-1.039
-0.282	2.076	2.028	-0.443	-0.585	2.028	1.691	-1.119	-0.547	1.993	1.703	-1.036
-0.282	2.077	1.996	-0.576	-0.585	2.028	1.691	-1.119	-0.548	1.996	1.704	-1.039
-0.279	2.079	1.986	-0.614	-0.585	2.028	1.691	-1.120	-0.548	1.997	1.705	-1.040
-0.286	2.079	1.941	-0.747	-0.585	2.028	1.691	-1.120	-0.548	1.999	1.706	-1.042
-0.290	2.091	1.957	-0.736	-0.585	2.028	1.691	-1.120	-0.548	2.006	1.712	-1.046
-0.294	2.090	1.946	-0.762	-0.585	2.028	1.691	-1.120	-0.548	2.006	1.712	-1.046
-0.299	2.088	1.962	-0.713	-0.585	2.028	1.691	-1.120	-0.548	2.004	1.710	-1.044
-0.304	2.092	1.994	-0.632	-0.585	2.028	1.691	-1.120	-0.548	2.006	1.712	-1.045
-0.305	2.087	2.024	-0.509	-0.585	2.028	1.691	-1.120	-0.547	2.001	1.709	-1.041
-0.304	2.085	2.025	-0.497	-0.587	2.031	1.691	-1.124	-0.548	2.000	1.707	-1.043
-0.306	2.092	1.991	-0.641	-0.586	2.048	1.706	-1.133	-0.549	2.012	1.716	-1.050
-0.311	2.092	1.987	-0.652	-0.586	2.048	1.706	-1.133	-0.549	2.012	1.716	-1.050
-0.269	2.082	2.040	-0.418	-0.584	2.064	1.722	-1.138	-0.547	2.016	1.722	-1.049
-0.273	2.092	1.990	-0.643	-0.584	2.067	1.724	-1.140	-0.546	2.018	1.724	-1.048
-0.273	2.092	1.990	-0.643	-0.584	2.067	1.724	-1.140	-0.546	2.018	1.724	-1.048
-0.271	2.094	2.019	-0.556	-0.584	2.067	1.725	-1.140	-0.547	2.019	1.725	-1.050
-0.270	2.089	2.010	-0.568	-0.584	2.067	1.725	-1.140	-0.547	2.016	1.721	-1.049
-0.273	2.084	2.023	-0.501	-0.584	2.067	1.725	-1.140	-0.547	2.012	1.719	-1.046
-0.278	2.078	2.026	-0.461	-0.584	2.068	1.725	-1.140	-0.546	2.007	1.715	-1.043
-0.282	2.080	2.003	-0.559	-0.584	2.068	1.725	-1.140	-0.547	2.009	1.716	-1.045
-0.289	2.103	1.996	-0.662	-0.584	2.068	1.725	-1.140	-0.548	2.026	1.730	-1.055
-0.293	2.107	1.968	-0.754	-0.584	2.068	1.725	-1.140	-0.548	2.030	1.733	-1.058
-0.294	2.103	1.986	-0.692	-0.584	2.068	1.725	-1.140	-0.547	2.027	1.731	-1.055
-0.310	2.090	1.963	-0.715	-0.583	2.141	1.788	-1.178	-0.547	2.033	1.736	-1.058
-0.316	2.096	1.986	-0.668	-0.583	2.141	1.788	-1.178	-0.547	2.045	1.746	-1.064
-0.315	2.084	1.999	-0.590	-0.583	2.141	1.788	-1.178	-0.547	2.037	1.740	-1.059
-0.299	2.096	2.009	-0.599	-0.583	2.141	1.788	-1.178	-0.547	2.046	1.747	-1.064
