phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.299	0.847	0.804	-0.266	-0.890	0.676	0.425	-0.525	-0.749	0.715	0.524	-0.487
-0.299	0.847	0.804	-0.266	-0.890	0.676	0.425	-0.525	-0.749	0.715	0.524	-0.487
-0.298	0.847	0.816	-0.229	-0.891	0.681	0.428	-0.529	-0.750	0.720	0.527	-0.491
-0.302	0.851	0.824	-0.213	-0.891	0.681	0.428	-0.529	-0.749	0.721	0.528	-0.491
-0.302	0.851	0.824	-0.213	-0.891	0.681	0.428	-0.529	-0.750	0.723	0.529	-0.493
-0.306	0.861	0.817	-0.273	-0.892	0.680	0.427	-0.529	-0.752	0.731	0.534	-0.499
-0.305	0.841	0.813	-0.214	-0.892	0.682	0.428	-0.531	-0.751	0.725	0.530	-0.495
-0.305	0.841	0.813	-0.214	-0.892	0.682	0.428	-0.531	-0.751	0.725	0.530	-0.495
-0.298	0.837	0.811	-0.205	-0.892	0.687	0.432	-0.535	-0.752	0.715	0.522	-0.488
-0.290	0.840	0.808	-0.228	-0.892	0.687	0.432	-0.535	-0.752	0.717	0.524	-0.490
-0.285	0.841	0.809	-0.230	-0.892	0.687	0.432	-0.535	-0.752	0.719	0.525	-0.491
-0.283	0.841	0.807	-0.236	-0.892	0.687	0.432	-0.535	-0.752	0.719	0.525	-0.491
-0.275	0.851	0.828	-0.194	-0.892	0.687	0.432	-0.535	-0.751	0.724	0.529	-0.494
-0.265	0.850	0.840	-0.131	-0.892	0.687	0.432	-0.535	-0.175	0.697	0.686	-0.121
-0.256	0.858	0.838	-0.181	-0.892	0.687	0.432	-0.535	-0.241	0.705	0.685	-0.168
-0.247	0.851	0.832	-0.177	-0.892	0.687	0.432	-0.535	-0.237	0.699	0.679	-0.164
-0.239	0.844	0.821	-0.196	-0.892	0.687	0.432	-0.535	-0.752	0.720	0.526	-0.492
-0.216	0.824	0.813	-0.134	-0.892	0.687	0.431	-0.535	-0.149	0.659	0.652	-0.098
-0.247	0.836	0.810	-0.208	-0.895	0.685	0.428	-0.535	-0.752	0.717	0.524	-0.490
-0.279	0.845	0.785	-0.313	-0.894	0.684	0.428	-0.533	-0.753	0.722	0.527	-0.494
-0.347	0.859	0.801	-0.310	-0.893	0.683	0.428	-0.532	-0.754	0.726	0.529	-0.497
-0.345	0.848	0.808	-0.256	-0.893	0.683	0.428	-0.532	-0.753	0.722	0.527	-0.494
-0.342	0.840	0.803	-0.247	-0.893	0.683	0.428	-0.532	-0.752	0.717	0.524	-0.490
-0.338	0.833	0.801	-0.227	-0.893	0.683	0.428	-0.532	-0.753	0.715	0.522	-0.489
-0.338	0.833	0.801	-0.227	-0.893	0.683	0.428	-0.532	-0.752	0.712	0.520	-0.486
-0.323	0.837	0.805	-0.228	-0.889	0.680	0.428	-0.528	-0.748	0.718	0.526	-0.488
-0.323	0.837	0.805	-0.228	-0.887	0.678	0.428	-0.525	-0.746	0.713	0.524	-0.484
-0.311	0.842	0.812	-0.222	-0.887	0.678	0.428	-0.525	-0.746	0.716	0.526	-0.486
-0.301	0.843	0.809	-0.238	-0.886	0.675	0.427	-0.523	-0.745	0.717	0.527	-0.486
-0.287	0.824	0.787	-0.244	-0.886	0.675	0.427	-0.523	-0.744	0.704	0.518	-0.477
-0.285	0.809	0.768	-0.253	-0.886	0.673	0.425	-0.521	-0.745	0.694	0.510	-0.470
-0.287	0.797	0.757	-0.250	-0.886	0.673	0.425	-0.521	-0.745	0.686	0.504	-0.465
-0.294	0.812	0.773	-0.248	-0.886	0.673	0.425	-0.521	-0.745	0.695	0.511	-0.471
-0.298	0.825	0.777	-0.278	-0.886	0.673	0.425	-0.521	-0.745	0.705	0.518	-0.478
-0.291	0.836	0.820	-0.166	-0.886	0.673	0.425	-0.521	-0.745	0.711	0.523	-0.482
-0.291	0.836	0.820	-0.166	-0.886	0.673	0.425	-0.521	-0.227	0.684	0.666	-0.154
-0.282	0.850	0.834	-0.164	-0.886	0.673	0.425	-0.521	-0.220	0.697	0.680	-0.152
-0.271	0.857	0.837	-0.180	-0.889	0.675	0.425	-0.524	-0.239	0.704	0.684	-0.167
