phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.229	0.828	0.814	0.150	-0.049	0.614	0.614	-0.030	-0.035	0.721	0.721	-0.025
0.229	0.828	0.814	0.150	-0.046	0.614	0.614	-0.028	-0.035	0.721	0.721	-0.025
0.224	0.836	0.829	0.110	-0.046	0.614	0.614	-0.028	-0.036	0.698	0.698	-0.025
0.212	0.840	0.838	0.061	-0.046	0.614	0.614	-0.028	-0.037	0.705	0.705	-0.026
0.192	0.853	0.852	0.037	-0.046	0.614	0.614	-0.028	-0.036	0.714	0.714	-0.026
0.169	0.863	0.863	0.005	-0.046	0.614	0.613	-0.028	-0.037	0.722	0.721	-0.027
0.137	0.844	0.837	0.104	-0.046	0.614	0.613	-0.028	-0.037	0.710	0.710	-0.026
0.137	0.844	0.837	0.104	-0.046	0.614	0.613	-0.028	-0.037	0.708	0.708	-0.026
0.131	0.848	0.832	0.164	-0.046	0.614	0.613	-0.028	-0.035	0.712	0.712	-0.025
0.135	0.855	0.843	0.141	-0.054	0.614	0.613	-0.033	-0.035	0.716	0.716	-0.025
0.136	0.848	0.843	0.093	-0.054	0.614	0.613	-0.033	-0.042	0.712	0.711	-0.030
0.146	0.854	0.851	0.072	-0.057	0.614	0.613	-0.035	-0.042	0.712	0.711	-0.030
0.146	0.854	0.851	0.072	-0.057	0.614	0.613	-0.035	-0.045	0.716	0.715	-0.032
0.150	0.847	0.842	0.087	-0.057	0.614	0.613	-0.035	-0.045	0.711	0.710	-0.032
0.154	0.844	0.835	0.122	-0.057	0.614	0.613	-0.035	-0.045	0.709	0.708	-0.032
0.150	0.851	0.838	0.143	-0.057	0.614	0.613	-0.035	-0.045	0.714	0.713	-0.032
0.141	0.854	0.844	0.128	-0.060	0.615	0.613	-0.037	-0.046	0.716	0.715	-0.033
0.109	0.841	0.840	0.042	-0.060	0.615	0.613	-0.037	-0.048	0.712	0.711	-0.034
0.134	0.872	0.844	0.219	-0.060	0.614	0.613	-0.037	-0.048	0.712	0.711	-0.034
0.152	0.857	0.836	0.191	-0.054	0.614	0.613	-0.033	-0.041	0.730	0.729	-0.030
0.171	0.845	0.818	0.212	-0.052	0.614	0.613	-0.032	-0.042	0.720	0.719	-0.030
0.191	0.841	0.821	0.179	-0.052	0.614	0.613	-0.032	-0.039	0.712	0.711	-0.028
0.205	0.849	0.837	0.140	-0.052	0.614	0.613	-0.032	-0.039	0.713	0.712	-0.028
0.209	0.859	0.845	0.155	-0.051	0.614	0.613	-0.032	-0.039	0.720	0.719	-0.028
0.205	0.869	0.854	0.159	-0.049	0.614	0.613	-0.030	-0.040	0.725	0.724	-0.029
0.186	0.861	0.858	0.065	-0.046	0.612	0.611	-0.028	-0.036	0.727	0.727	-0.026
0.171	0.869	0.867	0.057	-0.045	0.612	0.611	-0.028	-0.036	0.724	0.724	-0.026
0.138	0.867	0.864	0.077	-0.045	0.609	0.609	-0.027	-0.036	0.725	0.725	-0.026
0.138	0.867	0.864	0.077	-0.045	0.609	0.609	-0.027	-0.036	0.722	0.722	-0.026
0.131	0.872	0.864	0.116	-0.045	0.609	0.609	-0.027	-0.034	0.726	0.726	-0.025
0.119	0.855	0.851	0.078	-0.046	0.609	0.609	-0.028	-0.036	0.721	0.721	-0.026
0.108	0.850	0.848	0.064	-0.046	0.609	0.609	-0.028	-0.037	0.711	0.711	-0.026
0.096	0.853	0.851	0.062	-0.046	0.609	0.609	-0.028	-0.036	0.713	0.713	-0.026
0.090	0.861	0.858	0.071	-0.046	0.609	0.609	-0.028	-0.036	0.718	0.718	-0.026
0.092	0.860	0.854	0.097	-0.046	0.609	0.609	-0.028	-0.036	0.717	0.717	-0.026
0.098	0.863	0.855	0.119	-0.046	0.609	0.609	-0.028	-0.035	0.720	0.720	-0.025
0.105	0.849	0.840	0.122	-0.046	0.609	0.609	-0.028	-0.035	0.710	0.710	-0.025
0.112	0.839	0.830	0.118	-0.046	0.609	0.609	-0.028	-0.036	0.703	0.703	-0.025
0.141	0.823	0.822	0.035	-0.051	0.610	0.609	-0.031	-0.035	0.714	0.714	-0.025
0.137	0.829	0.826	0.073	-0.051	0.610	0.609	-0.031	-0.035	0.714	0.714	-0.025
0.126	0.846	0.841	0.089	-0.057	0.610	0.609	-0.035	-0.040	0.707	0.706	-0.028
0.126	0.846	0.841	0.089	-0.057	0.610	0.609	-0.035	-0.040	0.707	0.706	-0.028
0.121	0.853	0.846	0.111	-0.057	0.610	0.609	-0.035	-0.045	0.714	0.713	-0.032
0.114	0.858	0.849	0.119	-0.057	0.610	0.609	-0.035	-0.045	0.717	0.716	-0.032
0.108	0.868	0.855	0.150	-0.057	0.610	0.609	-0.035	-0.044	0.725	0.724	-0.032
0.110	0.881	0.870	0.134	-0.057	0.610	0.609	-0.035	-0.044	0.733	0.732	-0.032
0.117	0.874	0.862	0.144	-0.057	0.610	0.609	-0.035	-0.044	0.729	0.728	-0.032
0.127	0.855	0.854	0.038	-0.057	0.610	0.609	-0.035	-0.044	0.722	0.721	-0.032
0.120	0.849	0.847	0.060	-0.057	0.610	0.609	-0.035	-0.044	0.721	0.720	-0.032
0.119	0.857	0.850	0.108	-0.057	0.610	0.609	-0.035	-0.045	0.717	0.716	-0.032
0.121	0.864	0.852	0.143	-0.057	0.610	0.609	-0.035	-0.044	0.722	0.721	-0.032
0.130	0.861	0.834	0.212	-0.057	0.612	0.611	-0.035	-0.043	0.722	0.721	-0.031
