phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.207	2.455	2.424	0.389	-0.057	2.237	2.233	0.128	0.055	2.328	2.325	0.127
0.208	2.454	2.430	0.341	-0.057	2.237	2.233	0.128	0.055	2.327	2.324	0.127
0.205	2.452	2.429	0.331	-0.057	2.237	2.233	0.128	0.055	2.325	2.322	0.127
0.195	2.452	2.434	0.299	-0.057	2.237	2.233	0.128	0.054	2.326	2.323	0.126
0.180	2.456	2.425	0.389	-0.057	2.237	2.233	0.128	0.055	2.329	2.326	0.127
0.170	2.457	2.419	0.429	-0.057	2.237	2.233	0.128	0.055	2.330	2.326	0.128
0.163	2.458	2.423	0.414	-0.057	2.234	2.230	0.128	0.055	2.331	2.327	0.128
0.148	2.455	2.440	0.270	-0.057	2.234	2.230	0.128	0.054	2.327	2.324	0.126
0.141	2.458	2.436	0.326	-0.057	2.234	2.230	0.128	0.055	2.329	2.326	0.127
0.138	2.454	2.425	0.375	-0.055	2.232	2.228	0.123	0.052	2.326	2.323	0.122
0.141	2.450	2.405	0.469	-0.054	2.232	2.228	0.120	0.052	2.324	2.321	0.121
0.147	2.450	2.392	0.529	-0.054	2.232	2.228	0.120	0.053	2.324	2.321	0.122
0.155	2.458	2.405	0.506	-0.054	2.232	2.228	0.120	0.052	2.329	2.326	0.122
0.161	2.448	2.400	0.478	-0.054	2.232	2.228	0.120	0.052	2.322	2.319	0.121
0.159	2.447	2.427	0.309	-0.054	2.232	2.228	0.120	0.052	2.322	2.319	0.120
0.159	2.447	2.427	0.309	-0.054	2.232	2.228	0.120	0.051	2.321	2.318	0.119
0.160	2.448	2.417	0.386	-0.054	2.232	2.228	0.120	0.052	2.322	2.319	0.120
0.165	2.455	2.422	0.401	-0.054	2.232	2.228	0.120	0.052	2.327	2.324	0.120
0.165	2.455	2.448	0.187	-0.054	2.232	2.228	0.120	0.051	2.326	2.323	0.118
0.155	2.445	2.440	0.154	-0.054	2.232	2.228	0.120	0.050	2.319	2.316	0.117
0.142	2.436	2.426	0.213	-0.054	2.232	2.228	0.120	0.051	2.313	2.310	0.118
0.132	2.443	2.426	0.280	-0.053	2.232	2.228	0.119	0.050	2.318	2.315	0.117
0.122	2.444	2.430	0.264	-0.051	2.231	2.228	0.114	0.049	2.319	2.316	0.113
0.117	2.442	2.421	0.319	-0.051	2.231	2.228	0.114	0.049	2.318	2.315	0.113
0.115	2.446	2.426	0.311	-0.051	2.231	2.228	0.114	0.049	2.320	2.317	0.113
0.113	2.436	2.412	0.340	-0.051	2.231	2.228	0.114	0.049	2.314	2.311	0.113
0.109	2.437	2.420	0.284	-0.051	2.231	2.228	0.114	0.049	2.314	2.311	0.113
0.102	2.434	2.426	0.201	-0.051	2.231	2.228	0.114	0.048	2.312	2.309	0.112
0.099	2.434	2.424	0.209	-0.051	2.231	2.228	0.114	0.048	2.311	2.308	0.112
0.099	2.440	2.428	0.237	-0.051	2.231	2.228	0.114	0.048	2.316	2.313	0.112
0.106	2.436	2.396	0.442	-0.051	2.231	2.228	0.114	0.049	2.315	2.312	0.114
0.123	2.446	2.426	0.312	-0.051	2.231	2.228	0.114	0.049	2.314	2.311	0.113
0.123	2.446	2.426	0.312	-0.051	2.231	2.228	0.114	0.049	2.320	2.317	0.113
0.125	2.448	2.425	0.338	-0.051	2.231	2.228	0.114	0.049	2.322	2.319	0.114
0.128	2.449	2.417	0.393	-0.051	2.231	2.228	0.114	0.049	2.323	2.320	0.114
0.138	2.460	2.444	0.284	-0.051	2.229	2.226	0.114	0.049	2.330	2.327	0.115
0.138	2.460	2.444	0.284	-0.051	2.229	2.226	0.114	0.049	2.330	2.327	0.113
0.146	2.455	2.430	0.346	-0.049	2.213	2.210	0.109	0.047	2.321	2.318	0.110
0.153	2.458	2.429	0.376	-0.049	2.213	2.210	0.109	0.047	2.323	2.320	0.110
0.152	2.467	2.448	0.304	-0.049	2.213	2.210	0.109	0.047	2.329	2.326	0.110
0.147	2.469	2.452	0.289	-0.049	2.213	2.210	0.109	0.047	2.331	2.328	0.110
0.138	2.470	2.449	0.320	-0.049	2.213	2.210	0.109	0.047	2.331	2.328	0.110
0.139	2.459	2.419	0.437	-0.049	2.213	2.210	0.109	0.048	2.324	2.321	0.111
0.141	2.445	2.397	0.481	-0.049	2.213	2.210	0.109	0.048	2.315	2.312	0.111
0.142	2.430	2.385	0.468	-0.049	2.213	2.210	0.109	0.048	2.305	2.302	0.110
0.145	2.421	2.390	0.386	-0.049	2.213	2.210	0.109	0.047	2.298	2.295	0.109
0.147	2.429	2.400	0.370	-0.049	2.213	2.210	0.109	0.047	2.303	2.300	0.109
0.147	2.439	2.410	0.376	-0.049	2.213	2.210	0.109	0.048	2.311	2.308	0.110
0.146	2.440	2.425	0.262	-0.049	2.213	2.210	0.109	0.047	2.310	2.307	0.108
0.142	2.441	2.431	0.211	-0.049	2.229	2.226	0.109	0.046	2.315	2.313	0.107
0.140	2.438	2.426	0.242	-0.049	2.229	2.226	0.109	0.047	2.315	2.312	0.108
0.136	2.448	2.422	0.353	-0.049	2.229	2.226	0.109	0.047	2.314	2.311	0.108
0.131	2.454	2.431	0.334	-0.048	2.230	2.228	0.106	0.046	2.325	2.323	0.106
0.126	2.458	2.442	0.280	-0.048	2.230	2.228	0.106	0.046	2.328	2.326	0.106
0.120	2.457	2.434	0.336	-0.048	2.231	2.229	0.106	0.046	2.328	2.326	0.106
0.116	2.449	2.430	0.306	-0.048	2.231	2.229	0.106	0.046	2.322	2.320	0.106
0.116	2.449	2.423	0.350	-0.048	2.231	2.229	0.106	0.046	2.322	2.320	0.106
0.120	2.448	2.416	0.397	-0.048	2.231	2.229	0.106	0.046	2.322	2.320	0.107
0.126	2.447	2.422	0.343	-0.048	2.231	2.229	0.106	0.046	2.320	2.318	0.106
0.132	2.440	2.413	0.362	-0.048	2.231	2.229	0.106	0.046	2.316	2.314	0.106
0.134	2.447	2.432	0.267	-0.048	2.231	2.229	0.106	0.045	2.320	2.318	0.105
0.133	2.446	2.432	0.264	-0.048	2.231	2.229	0.106	0.045	2.320	2.318	0.105
0.132	2.448	2.425	0.335	-0.048	2.231	2.229	0.106	0.046	2.322	2.320	0.106
0.133	2.443	2.422	0.320	-0.048	2.231	2.229	0.106	0.046	2.318	2.316	0.106
0.134	2.441	2.422	0.309	-0.048	2.231	2.228	0.106	0.046	2.317	2.315	0.106
0.125	2.450	2.435	0.267	-0.048	2.231	2.228	0.106	0.045	2.324	2.322	0.105
0.125	2.450	2.435	0.267	-0.048	2.231	2.228	0.106	0.045	2.322	2.320	0.105
0.122	2.457	2.441	0.284	-0.047	2.230	2.228	0.104	0.045	2.327	2.325	0.104
0.121	2.456	2.437	0.305	-0.047	2.230	2.228	0.104	0.045	2.327	2.325	0.104
0.122	2.453	2.432	0.316	-0.047	2.230	2.228	0.104	0.045	2.324	2.322	0.104
0.122	2.460	2.439	0.320	-0.047	2.230	2.228	0.104	0.045	2.329	2.327	0.104
0.123	2.446	2.425	0.320	-0.047	2.230	2.228	0.104	0.045	2.320	2.318	0.104
0.126	2.443	2.402	0.445	-0.047	2.230	2.228	0.104	0.045	2.318	2.316	0.105
0.149	2.426	2.330	0.675	-0.047	2.230	2.228	0.104	0.046	2.308	2.306	0.107
0.163	2.425	2.360	0.558	-0.047	2.230	2.228	0.104	0.046	2.307	2.305	0.106
0.175	2.442	2.396	0.472	-0.047	2.230	2.228	0.104	0.045	2.318	2.316	0.105
0.181	2.439	2.394	0.466	-0.047	2.230	2.228	0.104	0.045	2.316	2.314	0.105
0.188	2.442	2.397	0.464	-0.048	2.230	2.228	0.106	0.046	2.317	2.315	0.107
0.193	2.440	2.399	0.448	-0.048	2.230	2.228	0.106	0.046	2.317	2.315	0.107
0.200	2.435	2.405	0.376	-0.048	2.230	2.228	0.106	0.046	2.312	2.310	0.106
