phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.428	1.599	1.422	-0.730	-0.628	1.434	1.160	-0.842	-0.570	1.487	1.252	-0.803
-0.425	1.609	1.440	-0.719	-0.628	1.434	1.160	-0.842	-0.570	1.495	1.259	-0.807
-0.423	1.609	1.426	-0.744	-0.628	1.434	1.160	-0.842	-0.570	1.495	1.258	-0.807
-0.423	1.611	1.462	-0.676	-0.628	1.434	1.160	-0.842	-0.570	1.495	1.259	-0.807
-0.424	1.605	1.464	-0.659	-0.628	1.434	1.160	-0.842	-0.569	1.491	1.256	-0.804
-0.429	1.603	1.452	-0.679	-0.628	1.434	1.160	-0.842	-0.570	1.490	1.254	-0.804
-0.433	1.597	1.489	-0.578	-0.628	1.434	1.160	-0.842	-0.569	1.484	1.250	-0.800
-0.441	1.610	1.458	-0.681	-0.628	1.434	1.160	-0.842	-0.570	1.494	1.258	-0.806
-0.447	1.617	1.458	-0.699	-0.628	1.434	1.160	-0.842	-0.570	1.500	1.263	-0.809
-0.449	1.620	1.453	-0.716	-0.628	1.434	1.160	-0.842	-0.570	1.502	1.264	-0.811
-0.452	1.626	1.408	-0.812	-0.628	1.440	1.166	-0.846	-0.572	1.510	1.270	-0.817
-0.455	1.620	1.426	-0.768	-0.628	1.440	1.166	-0.846	-0.571	1.505	1.266	-0.814
-0.457	1.602	1.464	-0.650	-0.628	1.440	1.166	-0.846	-0.570	1.491	1.255	-0.805
-0.456	1.605	1.446	-0.695	-0.628	1.440	1.166	-0.846	-0.570	1.493	1.257	-0.806
-0.457	1.607	1.474	-0.641	-0.628	1.440	1.165	-0.846	-0.571	1.494	1.257	-0.807
-0.462	1.618	1.445	-0.726	-0.628	1.440	1.165	-0.846	-0.571	1.502	1.264	-0.812
-0.466	1.632	1.426	-0.793	-0.628	1.440	1.165	-0.846	-0.572	1.514	1.273	-0.819
-0.469	1.632	1.442	-0.763	-0.628	1.440	1.165	-0.846	-0.571	1.513	1.273	-0.818
-0.474	1.627	1.440	-0.757	-0.628	1.440	1.165	-0.846	-0.571	1.510	1.270	-0.816
-0.465	1.618	1.487	-0.637	-0.628	1.440	1.165	-0.846	-0.570	1.500	1.263	-0.810
-0.454	1.601	1.465	-0.646	-0.628	1.440	1.165	-0.846	-0.571	1.490	1.254	-0.805
-0.448	1.597	1.439	-0.692	-0.628	1.440	1.165	-0.846	-0.571	1.488	1.252	-0.804
-0.447	1.602	1.438	-0.705	-0.628	1.440	1.165	-0.846	-0.571	1.492	1.255	-0.806
-0.456	1.622	1.459	-0.707	-0.628	1.440	1.165	-0.846	-0.571	1.505	1.266	-0.813
-0.452	1.609	1.470	-0.654	-0.628	1.440	1.165	-0.846	-0.571	1.496	1.259	-0.808
-0.446	1.607	1.479	-0.629	-0.628	1.440	1.165	-0.846	-0.570	1.493	1.257	-0.806
-0.436	1.607	1.492	-0.597	-0.628	1.440	1.165	-0.846	-0.570	1.493	1.257	-0.806
-0.425	1.618	1.507	-0.590	-0.629	1.446	1.169	-0.850	-0.571	1.502	1.264	-0.812
-0.416	1.632	1.545	-0.527	-0.629	1.446	1.169	-0.850	-0.570	1.511	1.272	-0.816
-0.412	1.643	1.515	-0.637	-0.629	1.446	1.169	-0.850	-0.571	1.520	1.279	-0.822
-0.412	1.652	1.491	-0.712	-0.629	1.446	1.170	-0.851	-0.571	1.528	1.285	-0.826
-0.414	1.649	1.464	-0.757	-0.629	1.446	1.170	-0.851	-0.572	1.526	1.283	-0.826
-0.414	1.639	1.464	-0.736	-0.630	1.449	1.171	-0.854	-0.573	1.520	1.277	-0.824
-0.411	1.627	1.492	-0.648	-0.630	1.449	1.171	-0.854	-0.573	1.510	1.269	-0.818
-0.401	1.629	1.503	-0.628	-0.630	1.449	1.171	-0.854	-0.572	1.511	1.270	-0.818
-0.402	1.636	1.493	-0.668	-0.630	1.449	1.171	-0.854	-0.573	1.517	1.275	-0.822
-0.410	1.642	1.454	-0.763	-0.630	1.449	1.171	-0.854	-0.573	1.523	1.279	-0.826
-0.424	1.653	1.450	-0.793	-0.630	1.449	1.171	-0.854	-0.574	1.531	1.286	-0.831
-0.437	1.654	1.460	-0.777	-0.630	1.449	1.171	-0.854	-0.574	1.531	1.286	-0.831
-0.440	1.650	1.501	-0.684	-0.630	1.449	1.171	-0.854	-0.573	1.526	1.283	-0.827
-0.433	1.656	1.530	-0.635	-0.632	1.451	1.171	-0.857	-0.574	1.530	1.285	-0.831
-0.427	1.658	1.504	-0.696	-0.633	1.452	1.171	-0.859	-0.575	1.533	1.286	-0.834
-0.432	1.660	1.459	-0.790	-0.634	1.454	1.171	-0.861	-0.577	1.536	1.287	-0.838
-0.445	1.649	1.442	-0.799	-0.634	1.454	1.171	-0.861	-0.577	1.530	1.282	-0.835
-0.456	1.645	1.484	-0.710	-0.634	1.454	1.171	-0.861	-0.576	1.525	1.279	-0.831
-0.460	1.637	1.507	-0.638	-0.634	1.455	1.172	-0.862	-0.576	1.518	1.273	-0.827
-0.432	1.628	1.496	-0.641	-0.634	1.455	1.172	-0.862	-0.577	1.524	1.277	-0.831
-0.432	1.628	1.496	-0.641	-0.634	1.455	1.172	-0.862	-0.577	1.524	1.277	-0.831
-0.428	1.641	1.472	-0.725	-0.634	1.455	1.172	-0.862	-0.577	1.523	1.276	-0.831
-0.422	1.650	1.495	-0.698	-0.634	1.455	1.172	-0.862	-0.577	1.528	1.281	-0.833
-0.423	1.659	1.466	-0.776	-0.634	1.455	1.172	-0.862	-0.577	1.536	1.287	-0.838
