phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.715	1.365	1.009	0.919	0.744	1.206	0.887	0.816	0.668	1.264	0.992	0.783
0.719	1.371	1.036	0.898	0.745	1.224	0.900	0.830	0.671	1.273	0.997	0.791
0.717	1.365	1.061	0.859	0.745	1.224	0.900	0.830	0.670	1.268	0.994	0.787
0.716	1.357	1.077	0.826	0.745	1.225	0.900	0.831	0.670	1.261	0.989	0.783
0.715	1.352	1.088	0.802	0.745	1.225	0.900	0.831	0.670	1.256	0.985	0.780
0.712	1.351	1.082	0.808	0.745	1.223	0.900	0.829	0.669	1.255	0.985	0.778
0.709	1.356	1.067	0.837	0.745	1.223	0.900	0.829	0.669	1.261	0.989	0.782
0.697	1.366	1.108	0.799	0.745	1.223	0.900	0.829	0.668	1.265	0.993	0.784
0.685	1.369	1.073	0.849	0.745	1.223	0.900	0.829	0.669	1.269	0.995	0.787
0.679	1.351	1.031	0.872	0.745	1.223	0.900	0.829	0.669	1.259	0.987	0.781
0.678	1.343	0.970	0.928	0.745	1.223	0.900	0.829	0.670	1.256	0.984	0.780
0.704	1.335	0.860	1.022	0.745	1.223	0.900	0.829	0.670	1.252	0.981	0.778
0.725	1.346	0.838	1.053	0.745	1.223	0.900	0.829	0.672	1.265	0.990	0.787
0.743	1.360	0.951	0.972	0.745	1.223	0.900	0.829	0.671	1.269	0.994	0.789
0.757	1.366	0.960	0.971	0.745	1.223	0.900	0.829	0.671	1.273	0.997	0.791
0.778	1.357	1.025	0.889	0.745	1.223	0.900	0.829	0.670	1.272	0.997	0.790
0.781	1.351	0.997	0.911	0.745	1.223	0.900	0.829	0.670	1.260	0.988	0.782
0.782	1.354	1.004	0.909	0.745	1.223	0.900	0.829	0.670	1.263	0.990	0.784
0.775	1.366	1.004	0.925	0.745	1.223	0.900	0.829	0.670	1.271	0.996	0.789
0.766	1.364	0.972	0.957	0.745	1.223	0.900	0.829	0.671	1.271	0.996	0.790
0.756	1.377	0.990	0.957	0.745	1.223	0.900	0.829	0.671	1.278	1.001	0.794
0.751	1.372	1.034	0.902	0.745	1.223	0.900	0.829	0.670	1.280	1.003	0.795
0.748	1.373	1.074	0.855	0.745	1.223	0.900	0.829	0.669	1.272	0.998	0.789
0.748	1.365	0.972	0.959	0.745	1.223	0.900	0.829	0.670	1.272	0.997	0.790
0.757	1.365	0.911	1.017	0.745	1.223	0.900	0.829	0.671	1.275	0.999	0.793
0.775	1.357	0.842	1.064	0.745	1.214	0.892	0.823	0.672	1.270	0.994	0.790
0.789	1.360	0.865	1.049	0.745	1.214	0.892	0.823	0.671	1.270	0.995	0.790
0.801	1.356	0.931	0.986	0.745	1.214	0.892	0.823	0.671	1.265	0.991	0.786
0.805	1.353	0.931	0.982	0.745	1.214	0.892	0.823	0.670	1.262	0.989	0.784
0.804	1.357	0.968	0.951	0.745	1.214	0.892	0.823	0.670	1.263	0.990	0.784
0.807	1.358	0.948	0.972	0.745	1.214	0.892	0.823	0.671	1.265	0.991	0.786
0.809	1.365	1.049	0.874	0.745	1.214	0.892	0.823	0.669	1.264	0.992	0.784
0.807	1.374	1.039	0.899	0.745	1.214	0.892	0.823	0.669	1.271	0.997	0.789
0.770	1.377	0.999	0.948	0.745	1.214	0.892	0.823	0.670	1.269	0.995	0.788
0.764	1.368	0.931	1.003	0.745	1.214	0.892	0.823	0.670	1.273	0.998	0.791
0.768	1.358	0.921	0.998	0.745	1.214	0.892	0.823	0.671	1.266	0.992	0.787
0.770	1.352	0.956	0.956	0.745	1.214	0.892	0.823	0.670	1.261	0.988	0.783
0.771	1.347	0.937	0.968	0.745	1.214	0.892	0.823	0.670	1.258	0.986	0.781
0.778	1.358	0.905	1.013	0.745	1.214	0.892	0.823	0.671	1.268	0.993	0.788
0.822	1.376	0.898	1.042	0.745	1.214	0.892	0.823	0.671	1.280	1.003	0.796
0.832	1.371	0.900	1.035	0.745	1.214	0.892	0.823	0.671	1.277	1.000	0.794
0.839	1.359	0.879	1.036	0.745	1.214	0.892	0.823	0.671	1.269	0.994	0.789
