phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.554	2.336	2.009	1.191	0.497	3.180	2.795	1.515	0.476	2.553	2.269	1.170
0.555	2.327	1.946	1.276	0.497	3.180	2.795	1.515	0.476	2.549	2.265	1.169
0.543	2.339	2.077	1.075	0.497	3.176	2.792	1.513	0.476	2.553	2.270	1.169
0.539	2.329	2.027	1.146	0.497	3.176	2.792	1.513	0.476	2.547	2.264	1.166
0.539	2.331	2.046	1.118	0.497	3.176	2.792	1.513	0.476	2.548	2.265	1.167
0.539	2.335	1.992	1.218	0.497	3.176	2.792	1.513	0.476	2.552	2.268	1.170
0.543	2.326	1.845	1.415	0.498	3.109	2.732	1.485	0.478	2.528	2.245	1.163
0.540	2.329	2.091	1.027	0.498	3.109	2.731	1.485	0.477	2.522	2.240	1.159
0.525	2.329	2.144	0.910	0.498	3.109	2.731	1.485	0.477	2.519	2.238	1.157
0.525	2.329	2.144	0.910	0.498	3.109	2.731	1.485	0.475	2.522	2.242	1.154
0.520	2.325	1.982	1.215	0.498	3.109	2.731	1.485	0.477	2.523	2.242	1.158
0.541	2.316	1.842	1.403	0.498	3.109	2.731	1.485	0.478	2.522	2.239	1.160
0.549	2.338	2.025	1.168	0.498	3.109	2.731	1.485	0.477	2.531	2.249	1.161
0.545	2.342	2.098	1.039	0.498	3.109	2.731	1.485	0.476	2.532	2.251	1.160
0.529	2.342	2.106	1.024	0.498	3.109	2.731	1.485	0.476	2.532	2.251	1.160
0.511	2.335	2.051	1.116	0.498	3.109	2.731	1.485	0.476	2.528	2.247	1.159
0.503	2.327	1.987	1.210	0.498	3.109	2.731	1.485	0.477	2.525	2.243	1.159
0.506	2.327	1.991	1.204	0.498	3.077	2.703	1.469	0.476	2.515	2.235	1.153
0.521	2.328	1.966	1.247	0.498	3.077	2.703	1.469	0.476	2.516	2.236	1.154
0.531	2.334	1.966	1.257	0.498	2.960	2.600	1.415	0.477	2.483	2.206	1.139
0.529	2.338	2.000	1.210	0.498	2.960	2.600	1.415	0.476	2.484	2.208	1.139
0.523	2.334	1.956	1.273	0.499	2.820	2.476	1.350	0.476	2.438	2.167	1.118
0.526	2.322	2.021	1.143	0.499	2.820	2.476	1.350	0.475	2.428	2.159	1.111
0.536	2.333	2.005	1.193	0.499	2.820	2.476	1.350	0.476	2.437	2.166	1.116
0.553	2.330	1.937	1.294	0.499	2.820	2.476	1.350	0.476	2.440	2.169	1.117
0.557	2.318	1.925	1.292	0.499	2.820	2.476	1.350	0.476	2.428	2.158	1.113
0.558	2.309	1.899	1.312	0.499	2.820	2.476	1.350	0.477	2.422	2.152	1.111
0.562	2.307	1.935	1.256	0.499	2.820	2.476	1.350	0.476	2.420	2.151	1.109
0.558	2.303	1.963	1.205	0.499	2.820	2.476	1.350	0.476	2.416	2.148	1.107
0.558	2.312	1.967	1.215	0.499	2.820	2.476	1.350	0.476	2.422	2.153	1.110
0.559	2.311	1.986	1.181	0.499	2.820	2.476	1.350	0.476	2.421	2.152	1.109
0.557	2.317	1.929	1.284	0.499	2.820	2.476	1.350	0.476	2.427	2.157	1.113
0.561	2.317	1.884	1.349	0.501	2.722	2.387	1.308	0.476	2.409	2.141	1.105
0.561	2.317	1.970	1.219	0.501	2.722	2.387	1.308	0.477	2.395	2.127	1.100
0.564	2.295	1.846	1.363	0.501	2.722	2.387	1.308	0.478	2.382	2.115	1.096
0.566	2.298	1.853	1.360	0.501	2.651	2.325	1.273	0.478	2.385	2.118	1.097
0.572	2.298	1.941	1.231	0.501	2.651	2.325	1.273	0.476	2.360	2.097	1.082
0.577	2.305	1.886	1.325	0.500	2.582	2.265	1.239	0.475	2.344	2.084	1.073
0.587	2.304	1.810	1.426	0.500	2.582	2.265	1.239	0.476	2.346	2.085	1.075
0.629	2.271	1.646	1.564	0.500	2.582	2.265	1.239	0.476	2.338	2.078	1.072
0.629	2.271	1.646	1.564	0.500	2.582	2.265	1.239	0.477	2.327	2.067	1.069
0.659	2.277	1.636	1.584	0.500	2.582	2.265	1.239	0.477	2.332	2.071	1.071
0.670	2.281	1.717	1.501	0.500	2.582	2.265	1.239	0.477	2.332	2.072	1.070
0.680	2.280	1.693	1.527	0.500	2.582	2.265	1.239	0.477	2.332	2.072	1.071
0.691	2.276	1.701	1.511	0.500	2.582	2.265	1.239	0.477	2.329	2.069	1.069
0.706	2.267	1.728	1.467	0.500	2.582	2.265	1.239	0.477	2.326	2.067	1.067
0.706	2.267	1.728	1.467	0.500	2.582	2.265	1.239	0.477	2.322	2.063	1.065
0.705	2.275	1.840	1.339	0.503	2.542	2.227	1.225	0.478	2.312	2.053	1.063
0.697	2.278	1.887	1.275	0.503	2.542	2.227	1.225	0.477	2.311	2.053	1.062
0.685	2.269	1.866	1.290	0.504	2.501	2.190	1.208	0.478	2.292	2.035	1.055
0.673	2.280	1.863	1.314	0.504	2.501	2.190	1.208	0.478	2.300	2.042	1.059
0.659	2.284	1.884	1.292	0.504	2.501	2.190	1.208	0.478	2.303	2.045	1.060
0.649	2.279	1.880	1.287	0.503	2.498	2.189	1.203	0.477	2.298	2.042	1.055
0.631	2.288	1.902	1.270	0.503	2.498	2.189	1.203	0.477	2.304	2.047	1.057
0.622	2.288	1.887	1.292	0.503	2.498	2.189	1.203	0.477	2.304	2.047	1.057
0.614	2.300	1.862	1.349	0.503	2.498	2.189	1.203	0.477	2.313	2.055	1.062
0.613	2.299	1.845	1.371	0.503	2.498	2.189	1.203	0.477	2.314	2.055	1.063
0.621	2.294	1.777	1.450	0.503	2.498	2.189	1.203	0.478	2.312	2.053	1.063
0.625	2.292	1.890	1.296	0.503	2.498	2.189	1.203	0.477	2.307	2.050	1.059
0.625	2.299	1.929	1.250	0.503	2.498	2.189	1.203	0.476	2.311	2.054	1.060
0.622	2.292	1.920	1.251	0.503	2.498	2.189	1.203	0.476	2.307	2.050	1.058
0.621	2.295	1.872	1.327	0.503	2.498	2.189	1.203	0.477	2.310	2.052	1.060
0.626	2.299	1.799	1.430	0.503	2.498	2.189	1.203	0.478	2.315	2.056	1.064
0.639	2.288	1.788	1.428	0.503	2.498	2.189	1.203	0.477	2.309	2.051	1.061
0.643	2.286	1.811	1.394	0.503	2.498	2.189	1.203	0.477	2.306	2.048	1.059
0.643	2.284	1.888	1.285	0.504	2.481	2.172	1.198	0.478	2.296	2.039	1.056
0.634	2.279	1.871	1.302	0.504	2.481	2.172	1.198	0.478	2.294	2.037	1.055
0.628	2.282	1.899	1.266	0.505	2.463	2.156	1.192	0.478	2.289	2.032	1.054
0.630	2.285	1.891	1.282	0.505	2.463	2.156	1.192	0.478	2.291	2.034	1.055
0.636	2.294	1.782	1.445	0.505	2.463	2.156	1.192	0.480	2.302	2.042	1.062
0.649	2.293	1.703	1.535	0.505	2.463	2.156	1.192	0.480	2.303	2.042	1.064
0.657	2.289	1.704	1.527	0.505	2.463	2.156	1.192	0.480	2.299	2.039	1.062
0.661	2.296	1.705	1.537	0.505	2.463	2.156	1.192	0.480	2.305	2.044	1.065
0.665	2.296	1.781	1.448	0.505	2.463	2.156	1.192	0.480	2.302	2.042	1.062
0.667	2.295	1.810	1.411	0.505	2.463	2.156	1.192	0.479	2.305	2.045	1.063
0.672	2.273	1.827	1.352	0.505	2.463	2.156	1.192	0.479	2.286	2.028	1.054
0.673	2.269	1.869	1.287	0.505	2.463	2.156	1.192	0.479	2.281	2.025	1.051
0.673	2.279	1.903	1.252	0.504	2.460	2.154	1.187	0.477	2.285	2.030	1.049
0.655	2.282	1.813	1.384	0.504	2.460	2.154	1.187	0.477	2.289	2.033	1.051
0.655	2.282	1.813	1.384	0.504	2.460	2.154	1.187	0.478	2.290	2.033	1.053
0.647	2.279	1.785	1.416	0.504	2.460	2.154	1.187	0.478	2.289	2.032	1.053
0.644	2.276	1.805	1.386	0.505	2.424	2.122	1.173	0.479	2.275	2.019	1.048
0.637	2.291	1.862	1.334	0.505	2.424	2.122	1.173	0.478	2.284	2.028	1.051
0.632	2.290	1.870	1.321	0.503	2.383	2.088	1.149	0.476	2.269	2.017	1.040
0.629	2.286	1.863	1.324	0.503	2.383	2.088	1.149	0.476	2.267	2.015	1.039
