phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.663	1.185	0.881	0.792	0.484	0.866	0.767	0.403	0.418	1.045	0.955	0.424
0.663	1.199	0.943	0.740	0.484	0.866	0.767	0.403	0.417	1.046	0.956	0.424
0.665	1.184	0.950	0.707	0.484	0.866	0.767	0.403	0.418	1.035	0.946	0.420
0.676	1.169	0.898	0.748	0.484	0.866	0.767	0.403	0.418	1.027	0.938	0.417
0.695	1.167	0.867	0.780	0.486	0.867	0.767	0.405	0.420	1.027	0.938	0.419
0.706	1.177	0.913	0.743	0.486	0.867	0.767	0.405	0.420	1.033	0.943	0.421
0.703	1.200	0.914	0.777	0.486	0.867	0.767	0.405	0.421	1.048	0.957	0.428
0.691	1.203	0.932	0.760	0.486	0.867	0.767	0.405	0.420	1.049	0.958	0.428
0.681	1.198	0.937	0.746	0.486	0.867	0.767	0.405	0.420	1.046	0.955	0.426
0.682	1.191	0.913	0.764	0.486	0.867	0.767	0.405	0.420	1.042	0.951	0.425
0.678	1.188	0.930	0.738	0.487	0.867	0.766	0.405	0.420	1.038	0.948	0.423
0.680	1.192	0.905	0.776	0.487	0.867	0.766	0.405	0.420	1.044	0.953	0.426
0.698	1.215	0.894	0.824	0.487	0.867	0.766	0.405	0.421	1.057	0.965	0.432
0.705	1.214	0.873	0.843	0.487	0.867	0.766	0.405	0.421	1.061	0.968	0.434
0.709	1.219	0.884	0.839	0.487	0.867	0.766	0.405	0.421	1.064	0.971	0.435
0.713	1.216	0.928	0.785	0.487	0.867	0.766	0.405	0.420	1.059	0.967	0.432
0.714	1.210	0.944	0.757	0.487	0.867	0.766	0.405	0.420	1.055	0.963	0.430
0.713	1.225	0.944	0.780	0.487	0.867	0.766	0.405	0.420	1.064	0.972	0.434
0.711	1.231	0.954	0.777	0.487	0.867	0.766	0.405	0.421	1.068	0.975	0.436
0.715	1.232	0.933	0.804	0.487	0.867	0.766	0.405	0.421	1.070	0.977	0.437
0.713	1.230	0.974	0.752	0.487	0.867	0.766	0.405	0.420	1.067	0.974	0.435
0.698	1.219	0.987	0.715	0.487	0.867	0.766	0.405	0.420	1.058	0.966	0.431
0.678	1.208	0.915	0.789	0.487	0.867	0.766	0.405	0.420	1.057	0.965	0.431
0.671	1.214	0.954	0.750	0.487	0.867	0.766	0.405	0.420	1.056	0.964	0.431
0.664	1.214	0.974	0.723	0.485	0.866	0.766	0.404	0.418	1.055	0.964	0.428
0.658	1.217	0.967	0.738	0.481	0.865	0.767	0.400	0.415	1.057	0.967	0.426
