phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.178	0.974	0.953	-0.197	-0.565	0.946	0.799	-0.506	-0.487	0.902	0.797	-0.422
-0.188	0.982	0.952	-0.239	-0.565	0.946	0.799	-0.506	-0.488	0.909	0.803	-0.426
-0.196	0.973	0.949	-0.214	-0.565	0.946	0.799	-0.506	-0.488	0.902	0.797	-0.423
-0.201	0.965	0.946	-0.192	-0.565	0.946	0.799	-0.506	-0.487	0.897	0.793	-0.420
-0.202	0.960	0.935	-0.217	-0.565	0.946	0.799	-0.506	-0.488	0.894	0.790	-0.419
-0.206	0.968	0.940	-0.231	-0.565	0.946	0.799	-0.506	-0.487	0.900	0.795	-0.421
-0.207	0.956	0.941	-0.172	-0.565	0.946	0.799	-0.506	-0.487	0.891	0.787	-0.417
-0.204	0.960	0.949	-0.146	-0.565	0.946	0.799	-0.506	-0.487	0.893	0.789	-0.418
-0.197	0.951	0.942	-0.126	-0.565	0.946	0.799	-0.506	-0.486	0.886	0.783	-0.414
-0.195	0.967	0.946	-0.201	-0.565	0.946	0.799	-0.506	-0.488	0.899	0.794	-0.421
-0.195	0.972	0.950	-0.204	-0.565	0.946	0.799	-0.506	-0.487	0.902	0.797	-0.422
-0.191	0.970	0.957	-0.162	-0.565	0.946	0.799	-0.506	-0.487	0.910	0.804	-0.426
-0.191	0.970	0.957	-0.162	-0.565	0.946	0.799	-0.506	-0.487	0.910	0.804	-0.426
-0.192	0.966	0.944	-0.201	-0.565	0.946	0.799	-0.506	-0.487	0.897	0.793	-0.420
-0.194	0.968	0.946	-0.203	-0.565	0.946	0.799	-0.506	-0.488	0.899	0.794	-0.421
-0.194	0.949	0.932	-0.177	-0.562	0.934	0.791	-0.498	-0.483	0.882	0.781	-0.410
-0.199	0.962	0.941	-0.199	-0.562	0.934	0.791	-0.498	-0.484	0.891	0.789	-0.415
