phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.602	1.274	1.058	-0.711	-0.854	1.213	0.797	-0.915	-0.766	1.195	0.861	-0.829
-0.594	1.274	1.107	-0.629	-0.854	1.213	0.797	-0.915	-0.766	1.192	0.859	-0.826
-0.583	1.270	1.125	-0.588	-0.854	1.213	0.797	-0.915	-0.766	1.187	0.856	-0.823
-0.563	1.284	1.090	-0.678	-0.854	1.213	0.797	-0.915	-0.767	1.199	0.864	-0.832
-0.552	1.292	1.066	-0.729	-0.854	1.213	0.797	-0.915	-0.767	1.207	0.869	-0.837
-0.554	1.304	1.053	-0.769	-0.854	1.213	0.797	-0.915	-0.767	1.217	0.876	-0.845
-0.562	1.318	1.051	-0.794	-0.854	1.213	0.797	-0.915	-0.767	1.226	0.883	-0.851
-0.568	1.314	1.084	-0.742	-0.854	1.213	0.797	-0.915	-0.767	1.222	0.880	-0.848
-0.570	1.315	1.098	-0.722	-0.854	1.213	0.797	-0.915	-0.767	1.222	0.880	-0.848
-0.570	1.308	1.073	-0.747	-0.854	1.213	0.797	-0.915	-0.767	1.218	0.877	-0.845
-0.579	1.287	1.045	-0.750	-0.854	1.213	0.797	-0.915	-0.767	1.204	0.867	-0.836
-0.592	1.276	1.070	-0.695	-0.854	1.213	0.797	-0.915	-0.766	1.195	0.861	-0.829
-0.599	1.277	1.075	-0.688	-0.854	1.213	0.797	-0.915	-0.766	1.195	0.861	-0.829
-0.598	1.278	1.111	-0.632	-0.854	1.213	0.797	-0.915	-0.766	1.195	0.861	-0.828
-0.565	1.251	1.149	-0.494	-0.854	1.213	0.797	-0.915	-0.765	1.173	0.846	-0.812
-0.542	1.259	1.163	-0.480	-0.854	1.213	0.797	-0.915	-0.765	1.177	0.849	-0.815
-0.522	1.273	1.137	-0.572	-0.854	1.213	0.797	-0.915	-0.765	1.190	0.858	-0.824
-0.507	1.283	1.134	-0.600	-0.854	1.213	0.797	-0.915	-0.765	1.197	0.863	-0.829
-0.502	1.296	1.090	-0.700	-0.854	1.213	0.797	-0.915	-0.767	1.208	0.870	-0.838
-0.499	1.305	1.037	-0.792	-0.854	1.213	0.797	-0.915	-0.767	1.219	0.877	-0.846
-0.499	1.282	1.041	-0.748	-0.853	1.203	0.792	-0.906	-0.765	1.198	0.864	-0.830
-0.505	1.296	1.024	-0.794	-0.853	1.203	0.792	-0.906	-0.766	1.209	0.872	-0.838
-0.516	1.296	1.036	-0.778	-0.853	1.203	0.792	-0.906	-0.765	1.209	0.872	-0.837
-0.531	1.278	1.070	-0.699	-0.851	1.193	0.787	-0.897	-0.762	1.190	0.861	-0.822
-0.559	1.274	1.074	-0.686	-0.851	1.193	0.787	-0.897	-0.762	1.188	0.859	-0.820
-0.579	1.287	1.002	-0.808	-0.851	1.193	0.787	-0.897	-0.764	1.202	0.868	-0.831
-0.600	1.293	1.013	-0.803	-0.850	1.192	0.787	-0.895	-0.762	1.204	0.871	-0.831
-0.614	1.305	1.019	-0.815	-0.850	1.192	0.787	-0.895	-0.762	1.212	0.877	-0.837
-0.619	1.287	1.038	-0.759	-0.850	1.192	0.787	-0.895	-0.762	1.198	0.867	-0.827
-0.621	1.285	0.992	-0.817	-0.850	1.192	0.787	-0.895	-0.762	1.200	0.868	-0.829
-0.623	1.287	1.028	-0.774	-0.850	1.192	0.787	-0.895	-0.762	1.200	0.868	-0.828
-0.623	1.281	1.022	-0.772	-0.850	1.192	0.787	-0.895	-0.762	1.195	0.865	-0.825
-0.624	1.275	1.080	-0.677	-0.850	1.192	0.787	-0.895	-0.761	1.188	0.860	-0.819
-0.624	1.263	1.071	-0.669	-0.850	1.192	0.787	-0.895	-0.761	1.179	0.854	-0.813
-0.627	1.268	1.075	-0.672	-0.850	1.192	0.787	-0.895	-0.761	1.182	0.856	-0.815
-0.619	1.274	1.090	-0.659	-0.850	1.192	0.787	-0.895	-0.761	1.186	0.859	-0.818
-0.592	1.281	1.140	-0.584	-0.850	1.192	0.787	-0.895	-0.760	1.188	0.861	-0.819
-0.577	1.285	1.121	-0.626	-0.850	1.191	0.786	-0.894	-0.760	1.191	0.863	-0.821
-0.567	1.283	1.064	-0.717	-0.850	1.191	0.786	-0.894	-0.761	1.195	0.865	-0.824
-0.564	1.293	1.013	-0.802	-0.850	1.191	0.786	-0.894	-0.762	1.204	0.871	-0.831
-0.573	1.300	0.942	-0.896	-0.850	1.191	0.786	-0.894	-0.763	1.213	0.877	-0.838
-0.592	1.287	0.950	-0.868	-0.850	1.191	0.786	-0.894	-0.762	1.203	0.870	-0.831
-0.612	1.285	0.967	-0.845	-0.850	1.191	0.786	-0.894	-0.762	1.200	0.868	-0.829
-0.623	1.279	1.014	-0.780	-0.850	1.191	0.786	-0.894	-0.762	1.194	0.864	-0.824
-0.629	1.266	1.085	-0.652	-0.850	1.191	0.786	-0.894	-0.761	1.181	0.855	-0.814
-0.630	1.269	1.110	-0.613	-0.850	1.191	0.786	-0.894	-0.760	1.181	0.856	-0.813
-0.632	1.299	1.109	-0.676	-0.850	1.191	0.786	-0.894	-0.761	1.202	0.871	-0.829
-0.604	1.287	1.150	-0.577	-0.850	1.191	0.786	-0.894	-0.760	1.198	0.868	-0.825
-0.604	1.287	1.150	-0.577	-0.850	1.191	0.786	-0.894	-0.760	1.192	0.864	-0.821
-0.576	1.285	1.131	-0.609	-0.850	1.191	0.786	-0.894	-0.760	1.191	0.863	-0.821
-0.544	1.282	1.131	-0.603	-0.850	1.191	0.786	-0.894	-0.760	1.189	0.862	-0.819
-0.520	1.285	1.106	-0.653	-0.850	1.191	0.786	-0.894	-0.760	1.193	0.864	-0.822
-0.507	1.281	1.113	-0.634	-0.849	1.190	0.786	-0.894	-0.760	1.190	0.862	-0.820
-0.497	1.285	1.109	-0.649	-0.849	1.187	0.784	-0.891	-0.760	1.192	0.864	-0.821
-0.489	1.281	1.183	-0.490	-0.849	1.187	0.784	-0.891	-0.758	1.184	0.860	-0.814
-0.475	1.291	1.197	-0.485	-0.849	1.183	0.781	-0.888	-0.758	1.190	0.864	-0.818
-0.466	1.282	1.169	-0.524	-0.849	1.183	0.781	-0.888	-0.758	1.184	0.860	-0.814
-0.455	1.259	1.188	-0.418	-0.849	1.183	0.781	-0.888	-0.758	1.167	0.848	-0.802
-0.447	1.248	1.137	-0.514	-0.849	1.183	0.781	-0.888	-0.759	1.161	0.843	-0.799
-0.445	1.246	1.096	-0.592	-0.849	1.183	0.781	-0.888	-0.759	1.162	0.843	-0.800
-0.444	1.239	1.093	-0.582	-0.849	1.183	0.781	-0.888	-0.759	1.157	0.839	-0.796
