phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.800	2.681	1.981	1.806	0.426	2.723	2.479	1.126	0.408	2.651	2.433	1.053
0.794	2.690	1.991	1.808	0.426	2.723	2.479	1.126	0.408	2.657	2.439	1.055
0.767	2.684	2.089	1.684	0.426	2.723	2.479	1.126	0.408	2.650	2.433	1.051
0.744	2.688	2.121	1.652	0.426	2.723	2.479	1.126	0.407	2.653	2.436	1.051
0.728	2.691	2.128	1.647	0.423	2.718	2.479	1.115	0.404	2.653	2.439	1.043
0.719	2.686	2.012	1.779	0.423	2.718	2.479	1.115	0.405	2.653	2.438	1.045
0.710	2.684	2.068	1.710	0.421	2.716	2.479	1.110	0.403	2.649	2.437	1.038
0.702	2.679	2.082	1.685	0.421	2.716	2.479	1.110	0.403	2.645	2.433	1.037
0.692	2.667	2.112	1.629	0.421	2.716	2.479	1.110	0.403	2.637	2.426	1.033
0.686	2.679	2.026	1.753	0.421	2.716	2.479	1.110	0.403	2.647	2.435	1.038
0.684	2.688	2.025	1.768	0.421	2.716	2.479	1.110	0.403	2.653	2.440	1.041
0.683	2.691	2.020	1.776	0.421	2.716	2.479	1.110	0.403	2.655	2.442	1.041
0.684	2.693	2.120	1.661	0.421	2.716	2.479	1.110	0.403	2.654	2.442	1.040
0.665	2.692	2.223	1.519	0.421	2.716	2.479	1.110	0.402	2.645	2.434	1.034
0.665	2.692	2.223	1.519	0.421	2.716	2.479	1.110	0.402	2.645	2.434	1.034
0.656	2.699	2.217	1.540	0.421	2.716	2.479	1.110	0.402	2.656	2.444	1.039
0.649	2.699	2.217	1.539	0.421	2.716	2.479	1.110	0.402	2.656	2.444	1.039
0.648	2.703	2.147	1.641	0.421	2.716	2.479	1.110	0.403	2.660	2.447	1.042
0.646	2.697	2.114	1.674	0.421	2.716	2.479	1.110	0.403	2.656	2.444	1.041
0.642	2.691	2.028	1.768	0.421	2.716	2.479	1.110	0.403	2.655	2.442	1.041
0.640	2.688	2.080	1.701	0.421	2.716	2.479	1.110	0.403	2.651	2.439	1.039
0.643	2.687	1.983	1.813	0.421	2.716	2.479	1.110	0.404	2.653	2.440	1.042
0.653	2.692	1.947	1.859	0.421	2.716	2.479	1.110	0.404	2.658	2.444	1.044
0.672	2.689	1.869	1.933	0.421	2.716	2.479	1.110	0.404	2.658	2.444	1.045
0.692	2.689	1.921	1.881	0.421	2.715	2.478	1.109	0.404	2.655	2.442	1.043
0.719	2.716	2.050	1.781	0.421	2.715	2.478	1.109	0.403	2.671	2.457	1.047
0.723	2.707	2.085	1.725	0.421	2.715	2.479	1.108	0.402	2.664	2.451	1.043
