phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.493	0.996	0.885	0.456	-0.835	1.054	0.707	-0.781	0.526	0.852	0.737	0.428
0.494	1.002	0.899	0.442	-0.835	1.054	0.707	-0.781	0.505	0.858	0.751	0.415
0.491	1.001	0.901	0.435	-0.835	1.054	0.707	-0.781	0.498	0.857	0.753	0.409
0.483	1.003	0.923	0.392	-0.835	1.054	0.707	-0.781	0.444	0.856	0.773	0.368
0.477	1.006	0.947	0.340	-0.835	1.054	0.707	-0.781	0.382	0.858	0.796	0.320
0.465	1.010	0.963	0.303	-0.835	1.054	0.707	-0.781	0.338	0.860	0.811	0.285
0.451	1.007	0.949	0.338	-0.835	1.054	0.707	-0.781	0.379	0.859	0.798	0.318
0.432	1.004	0.957	0.303	-0.835	1.054	0.707	-0.781	0.340	0.854	0.805	0.285
0.406	0.999	0.959	0.280	-0.497	0.805	0.707	-0.384	0.315	0.849	0.807	0.263
0.362	0.985	0.925	0.338	-0.011	0.707	0.707	0.007	0.013	0.843	0.843	0.011
0.352	0.987	0.901	0.402	-0.011	0.707	0.707	0.007	0.013	0.846	0.846	0.011
0.349	0.992	0.891	0.436	-0.011	0.707	0.707	0.007	0.014	0.851	0.851	0.012
0.351	0.986	0.884	0.437	-0.011	0.707	0.707	0.007	0.014	0.847	0.847	0.012
0.359	0.956	0.856	0.423	-0.011	0.707	0.707	0.007	0.510	0.811	0.708	0.396
0.372	0.953	0.864	0.401	-0.011	0.707	0.707	0.007	0.013	0.824	0.824	0.011
0.383	0.942	0.859	0.384	-0.011	0.707	0.707	0.007	0.013	0.815	0.815	0.011
0.408	0.954	0.864	0.403	-0.011	0.707	0.707	0.007	0.013	0.817	0.817	0.011
0.408	0.954	0.864	0.403	-0.015	0.702	0.702	0.010	0.017	0.822	0.822	0.014
0.423	0.960	0.862	0.422	-0.016	0.698	0.698	0.011	0.018	0.826	0.826	0.015
0.440	0.973	0.859	0.456	-0.016	0.698	0.698	0.011	0.541	0.831	0.712	0.428
0.455	0.974	0.869	0.441	-0.016	0.698	0.698	0.011	0.521	0.831	0.721	0.414
0.456	0.979	0.883	0.422	-0.024	0.698	0.698	0.017	0.025	0.838	0.838	0.021
0.456	0.972	0.868	0.437	-0.024	0.698	0.698	0.017	0.025	0.834	0.834	0.021
0.455	0.965	0.863	0.432	-0.024	0.698	0.698	0.017	0.025	0.830	0.830	0.021
0.457	0.972	0.873	0.427	-0.024	0.698	0.698	0.017	0.025	0.834	0.834	0.021
0.460	0.956	0.874	0.386	-0.024	0.698	0.698	0.017	0.024	0.822	0.822	0.020
0.451	0.954	0.911	0.283	-0.030	0.696	0.696	0.021	0.028	0.817	0.817	0.023
0.436	0.956	0.913	0.284	-0.030	0.696	0.696	0.021	0.028	0.819	0.819	0.023
0.417	0.965	0.928	0.265	-0.030	0.696	0.696	0.021	0.028	0.824	0.824	0.023
0.404	0.965	0.900	0.348	-0.032	0.696	0.696	0.022	0.030	0.826	0.826	0.025
0.398	0.949	0.863	0.393	-0.032	0.696	0.696	0.022	0.032	0.817	0.817	0.026
0.390	0.940	0.871	0.352	-0.032	0.696	0.696	0.022	0.031	0.809	0.809	0.025
0.388	0.957	0.859	0.421	-0.032	0.696	0.696	0.022	0.032	0.823	0.823	0.026
0.389	0.966	0.855	0.450	-0.032	0.696	0.696	0.022	0.538	0.824	0.708	0.422
