phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.434	2.119	1.952	0.824	0.276	1.977	1.902	0.538	0.258	2.020	1.953	0.516
0.438	2.116	1.930	0.867	0.276	1.977	1.902	0.538	0.258	2.019	1.952	0.516
0.437	2.118	1.936	0.859	0.273	1.976	1.902	0.534	0.256	2.020	1.954	0.512
0.437	2.122	1.883	0.978	0.273	1.976	1.902	0.534	0.257	2.024	1.958	0.514
0.436	2.122	1.861	1.021	0.273	1.976	1.902	0.534	0.257	2.026	1.959	0.515
0.438	2.119	1.890	0.957	0.273	1.976	1.902	0.534	0.257	2.021	1.955	0.514
0.436	2.122	1.953	0.830	0.273	1.976	1.902	0.534	0.256	2.022	1.956	0.512
0.436	2.126	1.966	0.809	0.273	1.976	1.902	0.534	0.256	2.024	1.958	0.513
0.434	2.137	1.951	0.871	0.273	1.976	1.902	0.534	0.256	2.032	1.966	0.515
0.437	2.143	1.924	0.944	0.273	1.976	1.902	0.534	0.257	2.038	1.971	0.517
0.444	2.133	1.898	0.973	0.273	1.976	1.902	0.534	0.257	2.032	1.965	0.516
0.449	2.139	1.918	0.945	0.273	1.976	1.902	0.534	0.257	2.035	1.968	0.517
0.451	2.126	1.911	0.932	0.273	1.976	1.902	0.534	0.256	2.026	1.960	0.514
0.451	2.119	1.895	0.948	0.272	1.974	1.901	0.529	0.255	2.021	1.956	0.510
0.452	2.116	1.871	0.988	0.272	1.974	1.901	0.529	0.255	2.019	1.954	0.510
0.458	2.119	1.906	0.925	0.272	1.973	1.901	0.529	0.255	2.020	1.955	0.510
0.459	2.125	1.956	0.830	0.273	1.961	1.888	0.529	0.254	2.023	1.958	0.509
0.457	2.131	1.964	0.828	0.273	1.961	1.888	0.529	0.256	2.024	1.958	0.512
0.449	2.135	1.934	0.902	0.277	1.951	1.876	0.533	0.256	2.028	1.962	0.514
0.449	2.135	1.934	0.902	0.277	1.951	1.876	0.533	0.259	2.023	1.955	0.519
0.444	2.133	1.933	0.903	0.277	1.951	1.876	0.533	0.259	2.023	1.955	0.519
0.440	2.135	1.987	0.780	0.277	1.951	1.876	0.533	0.259	2.021	1.954	0.517
0.431	2.140	2.000	0.761	0.277	1.951	1.876	0.533	0.259	2.025	1.958	0.518
0.422	2.142	1.959	0.864	0.277	1.951	1.876	0.533	0.259	2.027	1.959	0.520
0.412	2.133	1.951	0.862	0.277	1.951	1.876	0.533	0.259	2.021	1.954	0.518
0.413	2.128	1.888	0.981	0.277	1.951	1.876	0.533	0.260	2.020	1.952	0.519
0.422	2.121	1.851	1.035	0.277	1.951	1.876	0.533	0.260	2.016	1.948	0.519
0.437	2.116	1.900	0.930	0.277	1.951	1.876	0.533	0.259	2.011	1.944	0.516
0.437	2.126	1.932	0.886	0.277	1.951	1.876	0.533	0.259	2.017	1.950	0.517
0.438	2.126	1.913	0.929	0.277	1.951	1.876	0.533	0.260	2.019	1.951	0.518
0.444	2.129	1.893	0.975	0.277	1.951	1.876	0.533	0.260	2.021	1.953	0.519
0.454	2.126	1.864	1.021	0.277	1.951	1.876	0.533	0.260	2.019	1.951	0.519
0.463	2.120	1.872	0.993	0.277	1.951	1.876	0.533	0.260	2.015	1.947	0.518
0.468	2.119	1.944	0.843	0.279	1.952	1.876	0.537	0.261	2.012	1.944	0.519
0.465	2.118	1.937	0.856	0.279	1.952	1.876	0.537	0.261	2.012	1.944	0.519
0.452	2.122	1.995	0.724	0.279	1.952	1.876	0.537	0.260	2.013	1.945	0.518
0.439	2.123	2.001	0.707	0.279	1.952	1.876	0.537	0.260	2.013	1.945	0.518
