phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.496	1.646	1.452	0.774	0.358	1.451	1.359	0.508	0.327	1.531	1.450	0.492
0.498	1.640	1.454	0.757	0.358	1.451	1.359	0.508	0.327	1.527	1.446	0.491
0.495	1.642	1.459	0.753	0.358	1.451	1.359	0.508	0.327	1.529	1.448	0.491
0.489	1.643	1.460	0.753	0.358	1.451	1.359	0.508	0.327	1.529	1.448	0.491
0.486	1.649	1.469	0.747	0.358	1.451	1.359	0.508	0.327	1.532	1.451	0.492
0.484	1.653	1.481	0.734	0.358	1.451	1.359	0.508	0.327	1.535	1.454	0.493
0.475	1.659	1.542	0.613	0.358	1.451	1.359	0.508	0.326	1.538	1.457	0.492
0.469	1.658	1.498	0.709	0.358	1.451	1.359	0.508	0.326	1.538	1.457	0.493
0.459	1.663	1.503	0.711	0.358	1.451	1.359	0.508	0.327	1.542	1.460	0.495
0.458	1.656	1.496	0.711	0.358	1.451	1.359	0.508	0.326	1.537	1.456	0.493
0.453	1.659	1.498	0.713	0.358	1.451	1.359	0.508	0.327	1.539	1.458	0.494
0.449	1.650	1.517	0.650	0.358	1.451	1.359	0.508	0.326	1.532	1.451	0.491
0.443	1.642	1.505	0.658	0.358	1.451	1.359	0.508	0.326	1.527	1.447	0.489
0.435	1.658	1.514	0.674	0.358	1.451	1.359	0.508	0.326	1.537	1.456	0.493
0.432	1.654	1.473	0.753	0.358	1.451	1.359	0.508	0.327	1.538	1.456	0.494
0.441	1.663	1.427	0.853	0.358	1.451	1.359	0.508	0.327	1.545	1.463	0.497
0.456	1.659	1.396	0.897	0.358	1.451	1.359	0.508	0.328	1.544	1.462	0.497
0.474	1.663	1.358	0.959	0.358	1.451	1.359	0.508	0.328	1.548	1.465	0.499
0.485	1.660	1.413	0.871	0.358	1.451	1.359	0.508	0.328	1.543	1.461	0.497
0.492	1.649	1.441	0.801	0.358	1.451	1.359	0.508	0.327	1.534	1.453	0.493
0.501	1.651	1.506	0.677	0.358	1.451	1.359	0.508	0.327	1.533	1.452	0.492
0.501	1.645	1.488	0.701	0.358	1.451	1.359	0.508	0.327	1.530	1.449	0.491
0.500	1.663	1.531	0.648	0.358	1.451	1.359	0.508	0.326	1.540	1.459	0.493
0.501	1.659	1.490	0.729	0.358	1.451	1.359	0.508	0.327	1.539	1.458	0.494
0.500	1.659	1.434	0.834	0.358	1.451	1.359	0.508	0.327	1.542	1.460	0.496
0.492	1.661	1.446	0.816	0.358	1.451	1.359	0.508	0.327	1.543	1.461	0.496
0.484	1.652	1.451	0.790	0.358	1.451	1.359	0.508	0.327	1.537	1.455	0.494
0.474	1.656	1.496	0.710	0.357	1.487	1.393	0.520	0.327	1.549	1.467	0.497
0.461	1.649	1.524	0.627	0.357	1.487	1.393	0.520	0.326	1.542	1.461	0.494
0.449	1.639	1.533	0.579	0.357	1.487	1.393	0.520	0.326	1.535	1.454	0.491
0.441	1.646	1.521	0.628	0.359	1.496	1.401	0.526	0.328	1.543	1.461	0.497
0.449	1.656	1.485	0.732	0.359	1.496	1.401	0.526	0.329	1.552	1.469	0.501
0.449	1.652	1.495	0.704	0.359	1.496	1.401	0.526	0.329	1.549	1.466	0.500
0.443	1.653	1.487	0.720	0.359	1.496	1.401	0.526	0.329	1.549	1.466	0.500
0.441	1.647	1.456	0.770	0.359	1.496	1.401	0.526	0.329	1.547	1.464	0.500
0.440	1.653	1.440	0.811	0.359	1.496	1.401	0.526	0.329	1.551	1.468	0.502
0.447	1.649	1.413	0.849	0.359	1.496	1.401	0.526	0.329	1.549	1.466	0.501
0.460	1.648	1.407	0.858	0.359	1.496	1.401	0.526	0.330	1.550	1.466	0.502
0.473	1.638	1.435	0.788	0.359	1.496	1.401	0.526	0.329	1.541	1.458	0.498
0.488	1.642	1.432	0.804	0.359	1.496	1.401	0.526	0.329	1.545	1.462	0.499
0.495	1.651	1.442	0.805	0.359	1.496	1.401	0.526	0.329	1.551	1.468	0.501
0.502	1.670	1.500	0.734	0.359	1.496	1.401	0.526	0.329	1.562	1.478	0.504
0.505	1.647	1.446	0.788	0.359	1.496	1.401	0.526	0.329	1.547	1.464	0.500
0.506	1.622	1.433	0.760	0.359	1.496	1.401	0.526	0.329	1.530	1.448	0.494
0.502	1.627	1.442	0.754	0.359	1.496	1.401	0.526	0.329	1.533	1.451	0.495
0.495	1.637	1.419	0.816	0.359	1.496	1.401	0.526	0.329	1.533	1.451	0.495
0.495	1.637	1.419	0.816	0.359	1.496	1.401	0.526	0.329	1.542	1.459	0.498
0.495	1.651	1.419	0.844	0.359	1.496	1.401	0.526	0.329	1.551	1.468	0.502
0.491	1.643	1.473	0.728	0.359	1.496	1.401	0.526	0.329	1.543	1.460	0.498
0.491	1.643	1.473	0.728	0.359	1.496	1.401	0.526	0.329	1.544	1.461	0.498
0.482	1.639	1.513	0.630	0.359	1.496	1.401	0.526	0.328	1.535	1.453	0.495
0.475	1.642	1.523	0.612	0.359	1.496	1.401	0.526	0.328	1.540	1.458	0.496
0.465	1.632	1.513	0.611	0.359	1.496	1.401	0.526	0.328	1.534	1.452	0.494
0.459	1.640	1.510	0.640	0.359	1.496	1.401	0.526	0.328	1.540	1.458	0.496
0.454	1.639	1.462	0.741	0.357	1.479	1.385	0.517	0.327	1.535	1.454	0.493
0.451	1.650	1.452	0.783	0.357	1.479	1.385	0.517	0.327	1.544	1.462	0.496
0.448	1.647	1.455	0.771	0.357	1.479	1.385	0.517	0.327	1.542	1.460	0.495
0.447	1.638	1.437	0.786	0.357	1.479	1.385	0.517	0.327	1.535	1.454	0.493
0.447	1.633	1.452	0.747	0.357	1.479	1.385	0.517	0.326	1.532	1.451	0.491
0.443	1.632	1.477	0.693	0.357	1.479	1.385	0.517	0.326	1.530	1.449	0.490
0.441	1.629	1.495	0.646	0.357	1.479	1.385	0.517	0.326	1.526	1.446	0.489
0.439	1.627	1.515	0.592	0.357	1.479	1.385	0.517	0.325	1.524	1.444	0.487
0.451	1.623	1.395	0.830	0.357	1.479	1.385	0.517	0.327	1.527	1.446	0.491
0.459	1.626	1.383	0.854	0.357	1.479	1.385	0.517	0.328	1.529	1.448	0.492
0.464	1.626	1.410	0.810	0.357	1.479	1.385	0.517	0.327	1.528	1.447	0.491
0.466	1.638	1.430	0.799	0.357	1.479	1.385	0.517	0.327	1.536	1.455	0.493
0.463	1.644	1.490	0.694	0.357	1.479	1.385	0.517	0.326	1.538	1.457	0.493
0.459	1.659	1.489	0.729	0.357	1.479	1.385	0.517	0.326	1.548	1.466	0.496
0.461	1.649	1.489	0.707	0.357	1.479	1.385	0.517	0.326	1.541	1.460	0.494
0.465	1.643	1.477	0.719	0.357	1.479	1.385	0.517	0.326	1.537	1.456	0.493
0.470	1.644	1.505	0.661	0.357	1.479	1.385	0.517	0.326	1.537	1.456	0.492
0.465	1.645	1.546	0.561	0.355	1.477	1.385	0.514	0.325	1.536	1.455	0.491
0.454	1.639	1.500	0.659	0.355	1.477	1.385	0.514	0.325	1.533	1.453	0.489
0.446	1.630	1.463	0.718	0.357	1.471	1.378	0.514	0.326	1.526	1.446	0.489
0.445	1.608	1.404	0.784	0.357	1.471	1.378	0.514	0.327	1.513	1.433	0.486
0.446	1.610	1.461	0.676	0.357	1.464	1.372	0.511	0.327	1.510	1.430	0.485
0.444	1.619	1.472	0.675	0.357	1.464	1.372	0.511	0.326	1.517	1.437	0.485
0.441	1.627	1.491	0.649	0.357	1.464	1.372	0.511	0.325	1.520	1.440	0.486
0.441	1.634	1.476	0.700	0.357	1.464	1.372	0.511	0.325	1.526	1.446	0.488
0.442	1.656	1.493	0.718	0.357	1.464	1.372	0.511	0.325	1.542	1.461	0.493
0.447	1.655	1.509	0.679	0.357	1.464	1.372	0.511	0.325	1.540	1.459	0.492
0.456	1.649	1.493	0.701	0.357	1.464	1.372	0.511	0.325	1.537	1.456	0.491
0.453	1.643	1.489	0.696	0.357	1.464	1.372	0.511	0.325	1.532	1.452	0.490
0.445	1.644	1.495	0.683	0.357	1.464	1.372	0.511	0.325	1.532	1.452	0.490
0.434	1.650	1.533	0.609	0.357	1.464	1.372	0.511	0.325	1.535	1.455	0.490
0.432	1.657	1.491	0.722	0.357	1.464	1.372	0.511	0.325	1.542	1.461	0.493
0.437	1.654	1.465	0.768	0.357	1.464	1.372	0.511	0.326	1.541	1.460	0.494
0.442	1.643	1.465	0.744	0.357	1.464	1.372	0.511	0.326	1.534	1.453	0.491
0.444	1.641	1.497	0.673	0.357	1.464	1.372	0.511	0.325	1.531	1.451	0.489
0.444	1.643	1.487	0.699	0.357	1.464	1.372	0.511	0.325	1.532	1.452	0.490
0.441	1.657	1.516	0.667	0.357	1.464	1.372	0.511	0.325	1.541	1.460	0.492
0.440	1.656	1.510	0.679	0.357	1.464	1.372	0.511	0.325	1.541	1.460	0.492
0.442	1.650	1.495	0.697	0.357	1.464	1.372	0.511	0.325	1.537	1.456	0.491
0.441	1.643	1.519	0.626	0.357	1.464	1.372	0.511	0.325	1.531	1.451	0.489
0.440	1.639	1.486	0.689	0.355	1.463	1.371	0.508	0.324	1.529	1.449	0.487
0.438	1.634	1.480	0.692	0.355	1.463	1.371	0.508	0.324	1.525	1.446	0.486
0.434	1.639	1.423	0.813	0.355	1.463	1.371	0.508	0.325	1.532	1.452	0.489
0.437	1.639	1.457	0.752	0.355	1.463	1.371	0.508	0.324	1.531	1.451	0.488
0.438	1.638	1.449	0.763	0.355	1.463	1.371	0.508	0.325	1.530	1.450	0.488
0.442	1.645	1.470	0.738	0.355	1.463	1.371	0.508	0.324	1.534	1.454	0.489
0.448	1.654	1.467	0.764	0.355	1.463	1.371	0.508	0.324	1.540	1.460	0.491
0.454	1.653	1.420	0.846	0.355	1.463	1.371	0.508	0.325	1.542	1.461	0.493
0.463	1.644	1.479	0.716	0.355	1.463	1.371	0.508	0.324	1.533	1.453	0.488
0.462	1.645	1.516	0.639	0.355	1.463	1.371	0.508	0.323	1.532	1.453	0.487
0.457	1.639	1.515	0.624	0.355	1.463	1.371	0.508	0.324	1.527	1.448	0.486
0.450	1.645	1.536	0.588	0.355	1.463	1.371	0.508	0.323	1.531	1.452	0.486
0.436	1.655	1.566	0.534	0.355	1.463	1.371	0.508	0.322	1.537	1.458	0.487
0.423	1.658	1.563	0.552	0.355	1.463	1.371	0.508	0.323	1.539	1.460	0.488
0.403	1.651	1.549	0.568	0.355	1.463	1.371	0.508	0.323	1.534	1.455	0.487
0.393	1.647	1.527	0.617	0.355	1.463	1.371	0.508	0.323	1.533	1.454	0.487
0.383	1.646	1.525	0.620	0.355	1.463	1.371	0.508	0.323	1.532	1.453	0.487
0.373	1.648	1.546	0.570	0.355	1.463	1.371	0.508	0.323	1.533	1.454	0.487
0.373	1.649	1.513	0.655	0.355	1.463	1.371	0.508	0.324	1.535	1.455	0.488
0.374	1.641	1.500	0.667	0.355	1.463	1.371	0.508	0.324	1.531	1.451	0.487
0.379	1.646	1.498	0.682	0.355	1.462	1.371	0.508	0.324	1.534	1.454	0.488
0.387	1.641	1.510	0.640	0.353	1.461	1.371	0.505	0.322	1.529	1.450	0.484
0.393	1.636	1.512	0.626	0.352	1.460	1.371	0.503	0.320	1.525	1.448	0.480
0.395	1.640	1.530	0.591	0.352	1.460	1.371	0.503	0.320	1.528	1.450	0.481
0.394	1.637	1.542	0.550	0.352	1.460	1.371	0.503	0.320	1.524	1.447	0.479
0.397	1.640	1.485	0.696	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.482
0.402	1.620	1.481	0.656	0.352	1.460	1.371	0.503	0.321	1.515	1.438	0.478
0.397	1.622	1.525	0.553	0.352	1.460	1.371	0.503	0.320	1.515	1.438	0.476
0.390	1.627	1.529	0.554	0.352	1.460	1.371	0.503	0.320	1.517	1.440	0.477
0.385	1.641	1.511	0.641	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.482
0.382	1.642	1.497	0.672	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.482
0.383	1.636	1.495	0.663	0.352	1.460	1.371	0.503	0.321	1.526	1.448	0.481
0.382	1.640	1.532	0.584	0.352	1.460	1.371	0.503	0.320	1.526	1.449	0.480
0.385	1.635	1.521	0.601	0.352	1.460	1.371	0.503	0.320	1.525	1.447	0.480
0.383	1.634	1.497	0.655	0.352	1.460	1.371	0.503	0.320	1.525	1.447	0.480
0.384	1.638	1.477	0.709	0.352	1.460	1.371	0.503	0.321	1.528	1.450	0.482
0.394	1.638	1.476	0.710	0.352	1.460	1.371	0.503	0.321	1.528	1.450	0.482
0.405	1.637	1.501	0.653	0.352	1.460	1.371	0.503	0.321	1.526	1.448	0.481
0.408	1.640	1.524	0.605	0.352	1.460	1.371	0.503	0.320	1.528	1.450	0.481
0.407	1.642	1.530	0.597	0.352	1.460	1.371	0.503	0.320	1.529	1.451	0.481
0.406	1.629	1.503	0.627	0.353	1.461	1.371	0.505	0.322	1.520	1.442	0.481
0.413	1.616	1.454	0.705	0.353	1.462	1.371	0.506	0.323	1.514	1.436	0.480
0.420	1.631	1.487	0.670	0.353	1.462	1.371	0.506	0.322	1.523	1.445	0.482
0.420	1.635	1.520	0.602	0.353	1.462	1.371	0.506	0.322	1.524	1.446	0.482
0.415	1.633	1.529	0.572	0.353	1.462	1.371	0.506	0.322	1.522	1.444	0.481
0.396	1.645	1.525	0.615	0.353	1.462	1.371	0.506	0.321	1.526	1.448	0.482
0.394	1.632	1.478	0.693	0.353	1.462	1.371	0.506	0.322	1.531	1.453	0.484
0.394	1.632	1.478	0.693	0.353	1.462	1.371	0.506	0.322	1.525	1.446	0.483
0.396	1.635	1.484	0.687	0.353	1.462	1.371	0.506	0.322	1.526	1.448	0.483
0.392	1.635	1.511	0.626	0.353	1.462	1.371	0.506	0.322	1.525	1.447	0.482
0.397	1.619	1.467	0.685	0.353	1.462	1.371	0.506	0.322	1.526	1.448	0.483
0.397	1.619	1.467	0.685	0.353	1.462	1.371	0.506	0.322	1.515	1.437	0.480
0.402	1.619	1.495	0.621	0.353	1.462	1.371	0.506	0.322	1.514	1.436	0.479
0.406	1.623	1.489	0.645	0.353	1.462	1.371	0.506	0.322	1.517	1.439	0.480
0.415	1.642	1.465	0.743	0.353	1.462	1.371	0.506	0.323	1.532	1.453	0.486
0.420	1.646	1.450	0.779	0.353	1.462	1.371	0.506	0.323	1.535	1.456	0.487
0.426	1.634	1.444	0.765	0.353	1.462	1.371	0.506	0.323	1.527	1.448	0.485
0.436	1.637	1.440	0.778	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.483
0.448	1.640	1.421	0.820	0.352	1.460	1.371	0.503	0.322	1.533	1.454	0.485
0.458	1.640	1.434	0.795	0.352	1.460	1.371	0.503	0.322	1.531	1.453	0.484
0.462	1.641	1.479	0.709	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.483
0.467	1.629	1.477	0.688	0.352	1.460	1.371	0.503	0.321	1.522	1.444	0.480
0.469	1.632	1.502	0.637	0.352	1.460	1.371	0.503	0.321	1.523	1.445	0.480
0.467	1.627	1.503	0.623	0.352	1.460	1.371	0.503	0.320	1.519	1.442	0.478
0.463	1.630	1.515	0.603	0.352	1.460	1.371	0.503	0.320	1.521	1.444	0.479
0.449	1.639	1.503	0.655	0.352	1.460	1.371	0.503	0.321	1.528	1.450	0.482
0.440	1.639	1.485	0.695	0.352	1.460	1.371	0.503	0.321	1.529	1.451	0.482
0.432	1.641	1.501	0.664	0.352	1.460	1.371	0.503	0.321	1.530	1.452	0.482
0.429	1.641	1.458	0.753	0.352	1.460	1.371	0.503	0.322	1.531	1.453	0.484
0.432	1.642	1.412	0.836	0.352	1.460	1.371	0.503	0.322	1.533	1.454	0.485
0.444	1.643	1.463	0.745	0.352	1.460	1.371	0.503	0.321	1.536	1.457	0.485
0.444	1.643	1.463	0.745	0.352	1.460	1.371	0.503	0.322	1.531	1.453	0.484
0.452	1.634	1.455	0.743	0.352	1.460	1.371	0.503	0.321	1.526	1.448	0.482
0.459	1.629	1.491	0.654	0.352	1.460	1.371	0.503	0.321	1.520	1.443	0.479
0.460	1.631	1.520	0.592	0.352	1.460	1.371	0.503	0.320	1.521	1.444	0.479
0.453	1.635	1.535	0.564	0.352	1.460	1.371	0.503	0.320	1.523	1.446	0.479
0.450	1.643	1.519	0.626	0.352	1.460	1.371	0.503	0.321	1.530	1.452	0.482
0.445	1.640	1.483	0.701	0.352	1.460	1.371	0.503	0.321	1.530	1.452	0.483
