phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.635	2.720	2.154	1.660	0.410	2.459	2.255	0.980	0.390	2.590	2.395	0.985
0.639	2.725	2.056	1.788	0.410	2.459	2.255	0.980	0.391	2.595	2.400	0.988
0.644	2.733	2.101	1.747	0.410	2.459	2.255	0.980	0.390	2.599	2.404	0.989
0.643	2.729	2.196	1.620	0.410	2.459	2.255	0.980	0.390	2.595	2.400	0.986
0.633	2.717	2.240	1.537	0.410	2.459	2.255	0.980	0.390	2.588	2.394	0.983
0.630	2.737	2.299	1.485	0.410	2.459	2.255	0.980	0.389	2.598	2.404	0.986
0.627	2.732	2.278	1.508	0.408	2.456	2.255	0.975	0.388	2.595	2.402	0.981
0.628	2.730	2.267	1.520	0.408	2.456	2.255	0.975	0.388	2.593	2.401	0.980
0.623	2.731	2.230	1.576	0.408	2.456	2.255	0.975	0.388	2.595	2.402	0.982
0.616	2.727	2.174	1.646	0.407	2.454	2.254	0.970	0.387	2.593	2.401	0.978
0.612	2.722	2.098	1.733	0.409	2.438	2.237	0.970	0.390	2.586	2.392	0.982
0.610	2.733	2.155	1.681	0.409	2.438	2.237	0.970	0.389	2.592	2.398	0.984
0.610	2.741	2.244	1.574	0.409	2.438	2.237	0.970	0.389	2.596	2.402	0.984
0.612	2.743	2.234	1.591	0.409	2.438	2.237	0.970	0.389	2.597	2.403	0.985
0.615	2.736	2.177	1.657	0.409	2.438	2.237	0.970	0.389	2.594	2.400	0.984
0.623	2.718	2.124	1.696	0.409	2.438	2.237	0.970	0.390	2.583	2.389	0.981
0.635	2.719	2.027	1.812	0.409	2.438	2.237	0.970	0.390	2.585	2.391	0.983
0.663	2.738	2.081	1.779	0.409	2.438	2.237	0.970	0.390	2.594	2.399	0.987
0.664	2.738	2.240	1.574	0.409	2.438	2.237	0.970	0.389	2.594	2.400	0.983
0.655	2.739	2.309	1.473	0.409	2.438	2.237	0.970	0.389	2.592	2.399	0.982
0.649	2.744	2.276	1.532	0.409	2.438	2.237	0.970	0.389	2.597	2.403	0.984
0.648	2.746	2.176	1.674	0.409	2.438	2.237	0.970	0.389	2.601	2.406	0.987
0.653	2.745	2.122	1.740	0.409	2.438	2.237	0.970	0.390	2.601	2.406	0.988
0.659	2.738	2.155	1.689	0.409	2.438	2.237	0.970	0.389	2.596	2.402	0.985
0.660	2.727	2.042	1.808	0.409	2.438	2.237	0.970	0.390	2.591	2.397	0.985
0.661	2.727	2.087	1.755	0.412	2.422	2.219	0.970	0.392	2.584	2.388	0.988
0.656	2.729	2.132	1.704	0.411	2.420	2.218	0.967	0.391	2.585	2.390	0.984
0.648	2.717	2.161	1.648	0.411	2.420	2.218	0.967	0.391	2.576	2.382	0.981
0.649	2.717	2.221	1.564	0.411	2.420	2.218	0.967	0.390	2.573	2.380	0.979
0.657	2.713	2.167	1.631	0.411	2.420	2.218	0.967	0.391	2.572	2.378	0.979
0.659	2.726	2.177	1.639	0.411	2.420	2.218	0.967	0.390	2.580	2.386	0.982
0.658	2.719	2.152	1.662	0.411	2.420	2.218	0.967	0.391	2.577	2.383	0.981
0.653	2.726	2.183	1.633	0.411	2.420	2.218	0.967	0.390	2.581	2.387	0.982
0.648	2.734	2.243	1.563	0.411	2.420	2.218	0.967	0.390	2.585	2.391	0.983
0.638	2.735	2.290	1.495	0.411	2.420	2.218	0.967	0.390	2.584	2.390	0.982
0.628	2.730	2.196	1.621	0.411	2.420	2.218	0.967	0.390	2.583	2.389	0.983
0.625	2.719	2.232	1.553	0.411	2.420	2.218	0.967	0.390	2.574	2.381	0.979
0.622	2.722	2.240	1.546	0.411	2.419	2.218	0.966	0.390	2.576	2.383	0.979
0.621	2.720	2.210	1.585	0.411	2.419	2.218	0.966	0.390	2.575	2.382	0.979
0.618	2.719	2.168	1.641	0.408	2.414	2.216	0.958	0.388	2.574	2.383	0.973
0.623	2.732	2.070	1.783	0.408	2.414	2.216	0.958	0.388	2.586	2.394	0.979
0.637	2.736	1.946	1.923	0.410	2.416	2.216	0.962	0.391	2.592	2.397	0.987
0.653	2.739	2.010	1.860	0.410	2.416	2.216	0.962	0.390	2.593	2.398	0.986
0.669	2.731	2.046	1.808	0.410	2.416	2.216	0.962	0.390	2.586	2.392	0.983
0.680	2.726	2.126	1.705	0.410	2.416	2.216	0.962	0.390	2.580	2.387	0.980
0.684	2.733	2.179	1.649	0.410	2.416	2.216	0.962	0.389	2.584	2.391	0.981
0.690	2.744	2.168	1.682	0.410	2.416	2.216	0.962	0.389	2.593	2.399	0.984
